규모,동수,조감도 이미지 파일경로,위치도 이미지 파일경로,전경 이미지 파일경로,위치,시공자,감리자,세대수,용적율,배치도 이미지 파일경로,설계자,구역명,건폐율,정비사업전문관리업체,사업주체,조합 추진위원회 연락처,구역면적,전화번호,추진현황 id,사업추진단계,조합원수,입출금공개건수
"지하2층/지상19~40층, 연면적 391,382.93㎡",17,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100457300040.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100457300010.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100457299830.jpg,"연수로 375, 보광빌딩3층",대림산업,미정,2780,272.99,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100457299860.jpg,신도시건축,광안A 재개발,14.34,도시와미래,망미2구역 주택재개발,051-761-4330,135079.3,051-761-4330,BARA_0000000000076,사업시행계획인가,870,94
-,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_202401230340344380.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202401230343189090.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202110050545109430.png,대한토지신탁,미정,미정,0,775.69,http://dynamice.busan.go.kr/data/busi_ara/BARA_202401230340344940.jpg,(주)원양건축사사무소,광안동 373블럭 가로주택정비,45.36,(주)정비기획원,광안동 373블럭 가로주택정비사업,051-758-7771,9299.4,051-758-7771,BARA_0000000030046,건축심의 및 통합심의,0,0
,0,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,0,0,http://dynamice.busan.go.kr/data/busi_ara/,(주)삼익엔지니어링건축사사무소,광안동 부흥·부광 소규모재건축,0,(주)도시정비,광안동 부흥·부광,051-753-8883,3573.5,051-753-8883,BARA_0000000030102,조합설립인가,0,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,1,0,http://dynamice.busan.go.kr/data/busi_ara/,-,괘법1 재개발,0,-,괘법1,010-0000-000,126807.3,010-0000-000,BARA_0000000030175,추진위원회 구성,1,0
"9,763㎡",3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 사하구 대티로1번길 39, 1층",동부건설(주),-,205,254.20,http://dynamice.busan.go.kr/data/busi_ara/,(주)벡타엔지니어링종합건축사사무소,괴정1 가로주택 가로주택정비,30,(주)에스엔디앤씨,,051-203-8233,9785,051-203-8233,BARA_0000000030056,건축심의 및 통합심의,64,0
"지하3/지상29층, 연면적 119,147㎡",11,http://dynamice.busan.go.kr/data/busi_ara/BARA_201611031111016310.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100302582340.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_202103310501138190.png,괴정동 216-10 일원,(주)한신공영,(주)다인그룹엔지니어링건축사사무소,835,256.41,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100307052890.PNG,한미건축,괴정2 재개발,23.71,(주)하나,괴정2 주택재개발 구역,051-293-0902,47170,051-293-0902,BARA_0000000000171,준공,261,74
2/25층,6,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190317571190.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190317571160.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190317571100.jpg,사하구 괴정동 733 일원,미선정,미선정,327,298.14,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190317571140.png,미선정,괴정2 재건축,21.87,미선정,괴정2 재건축,051-714-2964,16300,051-714-2964,BARA_0000000000231,사업시행계획인가,282,18
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"사하구 승학로 146-1, 2층",-,-,225,229.40,http://dynamice.busan.go.kr/data/busi_ara/,-,괴정2 가로주택정비,19.09,-,괴정2,051-999-9464,9419.5,051-999-9464,BARA_0000000030106,조합설립인가,128,0
"지하2/지상25층, 연면적 107,054",7,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200429448980.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200429448950.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811090924478390.png,괴정동 530-13번지 일원,(주)대우건설,미선정,757,257.62,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811090924478500.png,(주)상지엔지니어링건축사사무소,괴정3 재건축,21.04,(주)현지디앤씨,괴정3재건축정비구역,051-294-9877,31310,051-294-9877,BARA_0000000030015,사업시행계획인가,520,82
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"승학로 146-1, 2층",-,-,220,226.96,http://dynamice.busan.go.kr/data/busi_ara/,-,괴정3 가로주택정비,19.30,-,괴정3,051-999-9464,9846.4,051-999-9464,BARA_0000000030126,조합설립인가,82,0
"지하4층/지상17-39층, 연면적 605,999.8832㎡",26,http://dynamice.busan.go.kr/data/busi_ara/BARA_202210050338062270.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202210050508167880.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202210050338061910.JPG,괴정 571-1번지 일원,"포스코, 롯데건설 컨소시엄",-,3509,324.87,http://dynamice.busan.go.kr/data/busi_ara/BARA_202210050338062920.jpg,(주)상지엔지니어링 건축사사무소,괴정5(시범생활권) 재개발,20.73,금하도시개발(주),괴정5구역 재개발사업,051-293-6661,163895.5,051-293-6661,BARA_0000000030004,관리처분계획,1871,152
00,9,http://dynamice.busan.go.kr/data/busi_ara/null,http://dynamice.busan.go.kr/data/busi_ara/null,http://dynamice.busan.go.kr/data/busi_ara/null,사하구 괴정동 486-20번지,0,0,692,280,http://dynamice.busan.go.kr/data/busi_ara/null,-,괴정6 재개발,30,-,괴정6 재개발정비사업,051-206-1017,31489.6,051-206-1017,BARA_0000000030035,조합설립인가,581,10
,22,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,1877,258.46,http://dynamice.busan.go.kr/data/busi_ara/,-,괴정7 재개발,16.18,-,괴정7,051-294-1551,95890,051-294-1551,BARA_0000000030069,조합설립인가,954,0
,14,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 사하구 사하로141번길 51-1, 2층(괴정동)",-,-,923,259.21,http://dynamice.busan.go.kr/data/busi_ara/,-,괴정8 재개발,16.51,-,괴정8,051-274-8878,45946.2,051-274-8878,BARA_0000000030142,조합설립인가,531,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202210050506565410.jpg,http://dynamice.busan.go.kr/data/busi_ara/,123,시공자,감리자,50,7,http://dynamice.busan.go.kr/data/busi_ara/,설계자,교리테스트 재개발,6,관리업체,교리테스트,010-1234-1234,10,010-1234-1234,BARA_0000000030061,사업시행계획인가,20,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,시공자,감리자,50,10,http://dynamice.busan.go.kr/data/busi_ara/,설계자,교리테스트 재개발,10,업체,교리테스트,010-1234-1234,5,010-1234-1234,BARA_0000000030062,조합설립인가,10,0
,8,http://dynamice.busan.go.kr/data/busi_ara/BARA_202501020156110150.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202501020156111310.PNG,http://dynamice.busan.go.kr/data/busi_ara/BARA_202501020156108770.jpg,"금정구 금강로 585-1, 2층",미정,미정,544,247.91,http://dynamice.busan.go.kr/data/busi_ara/BARA_202501020156111420.jpg,미정,구서1 재개발,49.52,미정,구서1,051-583-4310,27867,051-583-4310,BARA_0000000030147,조합설립인가,544,0
-,3,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901280916463860.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101116169820.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101116129520.bmp,수림로50번길 198,DL E&C,미정,352,266.33,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901280916463810.jpg,C&T설계건축사사무소,구서3 재건축,22.67,(주)부동산써브S&C,구서3 주택재건축정비구역,051-514-9242,14984.5,051-514-9242,BARA_0000000000062,사업시행계획인가,238,37
-,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100423533210.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101122266810.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101122266600.jpg,"부산광역시 금정구 중앙대로1929번길 6, 3층(구서동)",미정,미정,300,273.04,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100423533170.png,미정,구서4 재건축,26.23,미정,구서4주택재건축정비구역,051-516-0195,11254.6,051-516-0195,BARA_0000000000061,조합설립인가,88,1
미정,6,http://dynamice.busan.go.kr/data/busi_ara/BARA_202010221107451300.jpg,http://dynamice.busan.go.kr/data/busi_ara/null,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812261006552580.bmp,구서중앙로 20,GS건설,미정,794,274.97,http://dynamice.busan.go.kr/data/busi_ara/BARA_202010221107451250.jpg,영탑종합건축사사무소,구서5 재건축,17.6,도시와 미래,구서5구역 재건축,051-513-3555,38600.1,051-513-3555,BARA_0000000000333,조합설립인가,612,2
-,5,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202009240428564820.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202009240428564710.jpg,"중앙대로1893번길 5, 2층",DL E&C,-,285,326.67,http://dynamice.busan.go.kr/data/busi_ara/,상지건축,"구서동(금화,산호,삼산) 소규모재건축",37.04,다올 도시정비,"구서동 금화,산호,삼산(소규모)",051-513-7732,8401.2,051-513-7732,BARA_0000000030027,조합설립인가,162,20
지하1층/지상18층,2,http://dynamice.busan.go.kr/data/busi_ara/BARA_202207260149533410.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202207260149533510.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202207260149529780.png,부산광역시 해운대구 재송1로31번길 55(재송동),미정,미정,99,0,http://dynamice.busan.go.kr/data/busi_ara/BARA_202207260149533600.png,미정,구일주택(소규모) 소규모재건축,0,미정,구일주택 소규모재건축,051-781-4141,2796.6,051-781-4141,BARA_0000000030059,조합설립인가,0,0
"지하3/지상28층, 연면적 116,274.5224㎡",11,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901030243219790.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204250222471430.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812040931019970.bmp,"구포동 백양대로 1139, 2층",반도건설,(주)엄앤드이종합건축사사무소,790,273.19,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901030243219740.jpg,삼익,구포3 재개발,22.38,창대정비기획,구포3 재개발,051-338-4745,34293.9,051-338-4745,BARA_0000000000199,이전고시,263,90
,8,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,부산시 북구 낙동대로 1762번길 110,-,-,0,278.56,http://dynamice.busan.go.kr/data/busi_ara/,-,구포8 재개발,19.72,-,구포8,051-333-4955,24150,051-333-4955,BARA_0000000030133,추진위원회 구성,0,0
,2,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204251034033710.png,http://dynamice.busan.go.kr/data/busi_ara/,"북구 백양대로 1124번길 104, 지하1층",미정,미정,217,249.99,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204251034033900.jpg,미정,구포대진아파트 소규모재건축,0.0,미정,구포대진아파트,051-336-9092,7551,051-336-9092,BARA_0000000030063,조합설립인가,157,0
"지하3/지상29층, 연면적 41,430.9191㎡,",3,http://dynamice.busan.go.kr/data/busi_ara/BARA_202309140419570990.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_202204251126401620.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812040929235420.jpg,금곡대로 430번가길 30(금곡동),산동아건설,미정,313,279.38,http://dynamice.busan.go.kr/data/busi_ara/BARA_202309140419571210.JPG,리한건축,금곡2-1 재개발,16.44,서진C&D,금곡2-1구역 재개발사업,051-361-9663,11870,051-361-9663,BARA_0000000000337,관리처분계획,46,81
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,0,220.76,http://dynamice.busan.go.kr/data/busi_ara/,㈜수가디자인건축사사무소,금보빌라타운 소규모재건축,24.59,㈜세웅R&C,금보빌라타운,051-714-5217,4066,051-714-5217,BARA_0000000030089,조합설립인가,0,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,59,1,http://dynamice.busan.go.kr/data/busi_ara/,미정,낙민1 가로주택정비,1,미정,낙민1,051-556-0466,8944.2,051-556-0466,BARA_0000000030098,건축심의 및 통합심의,59,0
,1,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406111009564280.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406100354046250.bmp,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,1,1,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406100354046440.png,미정,낙민1 재건축,1,미정,낙민1,051-554-9997,67006,051-554-9997,BARA_0000000030137,추진위원회 구성,1,0
"지하1층/지상24층,1개동,165세대",1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202305090106442250.JPG,http://dynamice.busan.go.kr/data/busi_ara/,수영구 광안동 165-10번지,-,-,40,1272.99,http://dynamice.busan.go.kr/data/busi_ara/BARA_202305090125054550.jpg,(주)에이원건축사사무소,남강맨션 가로주택정비,71.64,(주)스마트도시정비,남강맨션 가로주택정비사업,051-754-4404,990.7,051-754-4404,BARA_0000000030040,조합설립인가,40,0
"지하3/지상30층 연면적 65,369.5096㎡",4,http://dynamice.busan.go.kr/data/busi_ara/BARA_202009240401403920.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811060913350360.JPG,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811060913350180.jpg,"중앙대로1945번길 21, 2층",DL E&C,미지정,415,384.79,http://dynamice.busan.go.kr/data/busi_ara/BARA_202009240401285660.jpg,상지,남산1 재건축,25.97,제이엠씨엔피,남산1 주택재건축정비구역,051-518-7724,14449.7,051-518-7724,BARA_0000000000060,착공,292,122
미정,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_202205240421467180.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202205181028172260.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202103091010471320.jpg,"연제구 중앙대로 1159 C동 607호(연산동, 남일아파트)",미정,미정,278,389.6642,http://dynamice.busan.go.kr/data/busi_ara/BARA_202205181028172440.jpg,동언종합건축사사무소,"남일,흥아아파트 가로주택정비",37.8712,큐리하우징,"남일,흥아아파트 가로주택정비사업",051-852-8557,7563,051-852-8557,BARA_0000000030039,사업시행계획인가,166,0
,0,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"수영구 수영로464번길 22, 302호",-,-,173,249.85,http://dynamice.busan.go.kr/data/busi_ara/,-,남천 백산 소규모재건축,25.92,-,남천 백산,051-611-4492,6945.2,051-611-4492,BARA_0000000030111,조합설립인가,0,0
"지하1층/지상18층, 2개동, 70세대",3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,수영구 남천동 17-3번지 일원,미정,미정,28,234.75,http://dynamice.busan.go.kr/data/busi_ara/,미정,남천17블록 가로주택정비,24.3,미정,남천17블록 가로주택정비사업 정비구역,000-000-0000,2510.3,000-000-0000,BARA_0000000030029,조합설립인가,28,0
"지하3층/지상35층, 연면적 113,188.7272㎡",10,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812130444525050.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811140929046000.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811140929045970.jpg,황령대로 489번길 22(남천동),(주)포스코건설,(주)서린디앤씨,975,317.47,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812130430109940.jpg,한미건축사,남천2 재개발,24.41,(주)정일마스터플랜,남천2구역 주택재개발,051-622-9495,42217.6,051-622-9495,BARA_0000000000074,준공,311,39
"지하2층/지상26층, 연면적 71,544.909㎡",4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811140933005140.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812130925090460.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811140933005110.jpg,수영구 남천동 148-17,금호산업(주),유선엔지니어링건축사,421,260.99,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812111047409480.jpg,일신설계,남천2-1-2(삼익빌라) 재건축,17.91,태인씨앤디,남천2구역(삼익빌라) 주택재건축,051-611-8181,24218.5,051-611-8181,BARA_0000000000082,이전고시,282,50
"지하3층/지상36층, 연면적 151,226.0064㎡",7,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120145069280.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120145069180.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120145068930.jpg,광남로 32 4층,"GS건설(주), (주)세정건설",㈜도원엔지니어링건축사사무소,913,283.4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120145069030.jpg,(주)영탑종합건축사사무소,남천2-2(삼익타워) 재건축,19.81,부동산써브에스앤씨,남천2구역(삼익타워) 주택재건축,051-621-5975,44324.8,051-621-5975,BARA_0000000000083,준공,797,161
지하2층 / 지상40~61층,12,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100505279490.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812130936458950.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100505279460.jpg,남천동로82 반도빌딩 3층,GS건설,미정,3325,295,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812130936458920.png,일신설계,남천2-3(삼익비치) 재건축,18.06,다우MNG,남천2-3구역(삼익비치) 재건축,051-621-2795,252724.30,051-621-2795,BARA_0000000000084,사업시행계획인가,0,102
미정,미정,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812141102469110.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812141102469080.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260342528560.png,다대1동 248일원,미선정,미선정,미정,미정,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812141102469030.png,미선정,다대1 재개발,미정,미선정,다대1 재개발정비사업 조합설립추진위원회,051-261-9443,"66,000",051-261-9443,BARA_0000000000173,추진위원회 구성,0,0
,4,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,699,261,http://dynamice.busan.go.kr/data/busi_ara/,-,다대3 재건축,30,-,다대3,051-714-7009,27622,051-714-7009,BARA_0000000030109,조합설립인가,530,0
,5,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 사하구 다대로 405, 3층",-,-,390,266.63,http://dynamice.busan.go.kr/data/busi_ara/,-,다대4 재건축,29.06,-,다대4,051-265-9656,14856.7,051-265-9656,BARA_0000000030112,조합설립인가,352,0
미정,11,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,당감동 479-2번지 일원(무궁화),미정,미정,0,00,http://dynamice.busan.go.kr/data/busi_ara/,미정,당감1 재건축,00,미정,당감1재건축정비구역,051-897-4399,60.800,051-897-4399,BARA_0000000000321,추진위원회 구성,0,0
미정,00,http://dynamice.busan.go.kr/data/busi_ara/BARA_202508190517479970.jpg,http://dynamice.busan.go.kr/data/busi_ara/null,http://dynamice.busan.go.kr/data/busi_ara/null,당감동 175-2번지 일원,GS건설,미정,0,00,http://dynamice.busan.go.kr/data/busi_ara/BARA_202508190520035790.jpg,(주)영탑종합건축사사무소,당감1-1 재건축,00,(주)가나개발,당감1-1재건축정비구역,051-897-0083,70815,051-897-0083,BARA_0000000030025,조합설립인가,0,2
지하3층/지상27층,6,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190315040470.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812211023318160.PNG,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811090930049820.png,당리동 237-2번지 일원,대림산업,미선정,480,240,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811090930049880.png,(주)한미종합건축사사무소,당리1 재건축,18.46,메이트 S&C,당리1 재건축,051-208-9977,19387.1,051-208-9977,BARA_0000000000232,조합설립인가,348,46
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,136,204.94,http://dynamice.busan.go.kr/data/busi_ara/,-,당리1 가로주택정비,34.80,-,당리1,051-999-9464,6233.8,051-999-9464,BARA_0000000030082,조합설립인가,88,0
지하2/지상26,5,http://dynamice.busan.go.kr/data/busi_ara/BARA_202106030945255820.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812111006277750.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812111006277600.png,당리동 340번지,(주)한화건설,-,543,275,http://dynamice.busan.go.kr/data/busi_ara/BARA_202106030945255710.jpg,변경예정,당리2 재개발,50,(주)메이트에스엔씨,당리2 주택재개발 구역,051-204-1489,22200,051-204-1489,BARA_0000000000175,관리처분계획,309,117
-,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812211046377150.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202503101152007920.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202503101154436010.png,"부산광역시 사하구 다대로 30, 상가1동 101호",미선정,미선정,0,258.44,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812211046377100.png,미선정,당리2 재건축,18.10,미선정,당리2  재건축,010-2667-3666,14513,010-2667-3666,BARA_0000000000236,추진위원회 구성,0,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,118,239.76,http://dynamice.busan.go.kr/data/busi_ara/,-,당리2 가로주택정비,27,MOA CDT,당리2,051-999-9464,9956.7,051-999-9464,BARA_0000000030158,조합설립인가,0,0
,5,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"사하구 괴정로 111-1, 3층",-,-,495,279.31,http://dynamice.busan.go.kr/data/busi_ara/,-,당리4 재개발,22.28,-,당리4,051-207-7111,20882,051-207-7111,BARA_0000000030154,추진위원회 구성,0,0
"8,079.4",3,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311020932244710.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311020932245070.JPG,http://dynamice.busan.go.kr/data/busi_ara/,기장군 기장읍 대라리 128-11,이수종합건설,미정,138,239.45,http://dynamice.busan.go.kr/data/busi_ara/BARA_202311020932245180.png,㈜벡타엔지니어링 종합건축사사무소,대라주공아파트 소규모재건축,19.04,미정,대라주공아파트 소규모재건축정비사업,051-723-4112,8079,051-723-4112,BARA_0000000030036,사업시행계획인가,138,15
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,부산광역시 해운대구 1396-1 관리사무실,미정,미정,197,968.92,http://dynamice.busan.go.kr/data/busi_ara/,미정,대림비치아파트 소규모재건축사업 소규모재건축,58.78,(주)부동산서브에스앤씨,대림비치아파트 소규모재건축사업,010-7133-6096,1840,010-7133-6096,BARA_0000000030107,조합설립인가,99,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"동제당로 75, 경로당",(주)HJ중공업,-,227,249.52,http://dynamice.busan.go.kr/data/busi_ara/,(주)나우건축,대성주택 소규모재건축,22.45,(주)호현도시개발,대성주택,051-634-9260,8464,051-634-9260,BARA_0000000030068,조합설립인가,227,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"못골번영로 71번길 16, 1층",코오롱글로벌(주),-,229,239.56,http://dynamice.busan.go.kr/data/busi_ara/,상지건축,대연 가로주택정비,18.37,(주)스마트도시정비,대연,051-611-1495,9797.48,051-611-1495,BARA_0000000030071,건축심의 및 통합심의,229,0
,2,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"못골번영로 69, 지하1층",코오롱글로벌,-,189,239.56,http://dynamice.busan.go.kr/data/busi_ara/,상지건축,대연1 가로주택정비,18.37,스마트도시정비,대연1,051-624-1488,9188,051-624-1488,BARA_0000000030064,건축심의 및 통합심의,189,0
"지하6/지상35층, 연면적 505,643.44㎡",30,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100240512580.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100902187120.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100902187070.png,대연6동 1595번지 일원,(주)롯데건설,(주)청우종합건축사사무소,3149,266.78,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100240512260.jpg,일신건축∙성일건축,대연2 재개발,16.58,(주)한가람,대연2주택재개발,051-636-5547,164437.1,051-636-5547,BARA_0000000000178,조합해산,1015,33
"지하2층/지상28층, 연면적 66,668.6809㎡",5,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100418336770.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100117201090.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812111153538130.gif,"진남로70번길 1, 3층 301호(대연동, 동원빌딩)",현대엔지니어링(주),(주)종합건축사사무소 근정,449,264.85,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100418336710.jpg,(주)호원건축,대연2 재건축,21.13,(주)명성디앤씨,대연2구역 주택재건축정비사업,051-633-1103,17811.5,051-633-1103,BARA_0000000000277,준공,449,63
"지하6/지상36층, 연면적 682,227.7386㎡",28,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110954528620.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100903559410.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100903559360.png,"수영로 189, 3층 (대연동, 우리은행)","(주)롯데건설, (주)현대산업개발",(주)동일건축,4488,263.28,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110954528050.JPG,상지건축∙고우건축,대연3 재개발,15.34,도시와미래,대연3주택재개발,051-638-6800,252367.4,051-638-6800,BARA_0000000000179,착공,4250,97
