"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"370","부산광역시 사하구 괴정동","952-1","0952","0001","괴정 협성휴포레 아파트","55.9708","202507","09","14,000","10","개인","개인","2016","사하로 183","-","중개거래","부산 사하구"
"371","부산광역시 동구 범일동","830-140","0830","0140","동일타워","29.6400","202507","09","7,200","28","개인","개인","2014","조방로 14","-","중개거래","부산 동구"
"372","부산광역시 부산진구 전포동","648","0648","0000","서면엘리시움","48.9800","202507","09","9,200","2","개인","개인","2012","서전로37번길 46","-","중개거래","부산 부산진구"
"373","부산광역시 해운대구 우동","1435-3","1435","0003","한일오르듀","72.4111","202507","09","24,000","4","개인","개인","2005","마린시티3로 37","-","직거래","-"
"374","부산광역시 중구 부평동4가","52-3","0052","0003","(52-3)","48.8400","202507","09","7,620","13","개인","개인","1991","보수대로 82","-","직거래","-"
"375","부산광역시 연제구 연산동","588-6","0588","0006","경보이리스힐 오피스텔","26.1000","202507","08","4,400","9","개인","개인","2013","중앙대로1134번길 34","-","중개거래","부산 연제구"
"376","부산광역시 사하구 구평동","34-3","0034","0003","(34-3)","48.7592","202507","08","7,800","2","개인","개인","2016","사하로70번길 33-2","-","중개거래","부산 사하구"
"377","부산광역시 부산진구 개금동","197-5","0197","0005","성원쌍떼뷰","81.4800","202507","08","8,500","4","개인","개인","2004","개금온정로 5","-","중개거래","부산 부산진구"
"378","부산광역시 연제구 거제동","900-8","0900","0008","청목파르테논","34.0200","202507","08","10,500","6","개인","개인","2003","월드컵대로 282","-","중개거래","부산 연제구"
"379","부산광역시 동구 초량동","1210-6","1210","0006","태영 노블리안","39.3750","202507","08","9,500","9","법인","개인","2003","중앙대로 169","-","중개거래","부산 동구"
"380","부산광역시 영도구 남항동1가","86","0086","0000","더킹페로스아파트","84.9700","202507","08","29,300","2","개인","기타","2019","절영로 48","-","직거래","-"
"381","부산광역시 동래구 온천동","1842","1842","0000","온천 삼정그린코아더베스트","84.7067","202507","08","33,400","9","개인","개인","2019","중앙대로1493번길 16","-","중개거래","부산 동래구"
"382","부산광역시 동래구 온천동","1412-1","1412","0001","온천동반도보라스카이뷰","25.7550","202507","08","4,280","10","개인","개인","2006","아시아드대로 234","-","중개거래","부산 동래구"
"383","부산광역시 남구 대연동","55-1","0055","0001","21 센츄리시티 오피스텔","35.5800","202507","08","9,600","10","개인","개인","1993","수영로 312","-","중개거래","부산 남구"
"384","부산광역시 해운대구 중동","1256-9","1256","0009","해운대 중동 스위첸","84.9593","202507","07","65,000","32","개인","개인","2023","좌동순환로 495","-","중개거래","부산 해운대구"
"385","부산광역시 부산진구 양정동","140-4","0140","0004","지음7","66.7800","202507","07","14,000","6","개인","개인","2016","중앙대로980번길 38","-","중개거래","부산 부산진구"
"386","부산광역시 수영구 민락동","135","0135","0000","서희스타힐스 센텀프리모","19.8000","202507","07","3,800","5","개인","개인","2014","광안해변로 311","-","중개거래","부산 수영구"
"387","부산광역시 부산진구 부전동","224-23","0224","0023","세홍 플로린 O/T","28.1792","202507","07","23,000","8","개인","법인","2022","중앙대로680번길 46","-","직거래","-"
"388","부산광역시 동래구 온천동","1447-16","1447","0016","동경쉐르빌아파트","30.0200","202507","07","6,000","2","개인","개인","2003","미남로 122","-","직거래","-"
"389","부산광역시 부산진구 부전동","224-23","0224","0023","세홍 플로린 O/T","28.1792","202507","07","23,000","6","개인","법인","2022","중앙대로680번길 46","-","직거래","-"
"390","부산광역시 부산진구 개금동","617-16","0617","0016","미즈","79.2100","202507","07","15,000","6","개인","개인","2016","냉정로178번길 30-7","-","직거래","-"
"391","부산광역시 해운대구 반여동","1685","1685","0000","센텀우성스마트시티뷰","84.9167","202507","07","33,000","27","개인","법인","2020","선수촌로 146-4","-","직거래","-"
"392","부산광역시 수영구 수영동","449-3","0449","0003","수영유건코아텔2차","33.1100","202507","07","6,600","5","개인","개인","2003","연수로401번길 20","-","직거래","-"
"393","부산광역시 부산진구 양정동","140-4","0140","0004","지음7","66.7800","202507","07","14,000","6","개인","개인","2016","중앙대로980번길 38","20250707","중개거래","부산 부산진구"
"394","부산광역시 해운대구 좌동","1476-1","1476","0001","해운대 베르나움","28.3050","202507","06","6,200","8","개인","개인","2014"," ","-","중개거래","부산 해운대구"
"395","부산광역시 사상구 괘법동","984","0984","0000","센트럴 스타힐스","45.5071","202507","05","19,100","38","개인","개인","2022","사상로223번길 23","-","중개거래","부산 사상구"
"396","부산광역시 중구 중앙동5가","23","0023","0000","경보이리스오션 더스타","35.3700","202507","05","23,212","12","개인","개인","2020","대교로 133","-","중개거래","부산 중구"
"397","부산광역시 동구 범일동","830-140","0830","0140","동일타워","29.6400","202507","05","7,200","22","개인","개인","2014","조방로 14","-","중개거래","부산 동구"
"398","부산광역시 해운대구 우동","760-3","0760","0003","오션타워","39.0600","202507","04","25,000","12","개인","개인","1993","해운대해변로 203","-","중개거래","부산 해운대구"
"399","부산광역시 동구 수정동","1352","1352","0000","협성휴포레·부산진역 오션뷰","32.6924","202507","04","10,000","18","개인","개인","2019"," ","-","중개거래","부산 동구"
"400","부산광역시 해운대구 송정동","203-16","0203","0016","현은비치오피스텔","26.4000","202507","04","4,900","8","개인","개인","2002","송정중앙로39번길 11","-","중개거래","부산 기장군"
"401","부산광역시 해운대구 우동","1514","1514","0000","센텀리더스마크","103.2000","202507","04","78,000","26","법인","법인","2008","APEC로 17","-","중개거래","부산 해운대구"
"402","부산광역시 사하구 하단동","1165-27","1165","0027","범진사옥","38.2200","202507","04","4,200","3","법인","개인","2001","하신번영로261번길 25","-","중개거래","부산 사하구"
"403","부산광역시 동구 초량동","422-2","0422","0002","대영 아르피나","66.2413","202507","04","15,626","5","개인","법인","2019","초량중로 59","-","직거래","-"
"404","부산광역시 동구 초량동","1210-6","1210","0006","태영 노블리안","23.1150","202507","04","3,850","9","개인","개인","2003","중앙대로 169","-","중개거래","부산 동구"
"405","부산광역시 부산진구 부전동","143-5","0143","0005","큐브빌딩","27.7200","202507","04","11,000","10","개인","개인","2013","서전로 19","-","중개거래","부산 부산진구"
"406","부산광역시 해운대구 좌동","1459-2","1459","0002","파밀리에 펄시티","26.3700","202507","03","4,600","7","개인","개인","2014","해운대로 789","-","중개거래","부산 해운대구"
"407","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.9300","202507","03","4,400","10","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"408","부산광역시 해운대구 우동","1435-1","1435","0001","우신골든스위트","189.1711","202507","03","120,000","24","개인","개인","2005","마린시티1로 147","-","직거래","-"
"409","부산광역시 사하구 하단동","617-4","0617","0004","아람빌리지","25.2300","202507","03","6,900","10","개인","법인","2016","낙동대로457번길 12","-","중개거래","부산 사하구"
"410","부산광역시 해운대구 우동","777","0777","0000","해운대 한신 휴플러스","26.8625","202507","03","8,000","36","개인","법인","2014","해운대로 550","-","중개거래","부산 해운대구"
"411","부산광역시 연제구 연산동","588-7","0588","0007","연산역 유성해네스타워","29.9500","202507","02","8,100","14","개인","법인","2016","거제천로230번길 81","-","중개거래","부산 연제구"
"412","부산광역시 연제구 연산동","1288-36","1288","0036","더 페이스","20.2400","202507","02","4,000","6","개인","개인","2011","거제천로146번길 52","-","중개거래","부산 부산진구"
"413","부산광역시 사하구 신평동","411","0411","0000","퀸즈타운W 사하","66.3846","202507","02","22,000","25","개인","개인","2019","비봉로 93","-","중개거래","부산 사하구"
"414","부산광역시 연제구 연산동","1288-36","1288","0036","더 페이스","20.5400","202507","02","4,200","6","개인","개인","2011","거제천로146번길 52","-","중개거래","부산 부산진구"
"415","부산광역시 해운대구 좌동","1461-6","1461","0006","디베르비타","18.7900","202507","02","3,300","15","개인","개인","2003","좌동로 98","-","중개거래","부산 해운대구"
"416","부산광역시 수영구 광안동","662-1","0662","0001","힐탑더블시티","29.9880","202507","02","8,500","10","개인","개인","2015"," ","-","중개거래","부산 수영구"
"417","부산광역시 연제구 연산동","1288-36","1288","0036","더 페이스","20.5400","202507","02","4,200","6","개인","개인","2011","거제천로146번길 52","-","중개거래","부산 부산진구"
"418","부산광역시 연제구 연산동","1288-36","1288","0036","더 페이스","20.2400","202507","02","4,000","6","개인","개인","2011","거제천로146번길 52","-","중개거래","부산 부산진구"
"419","부산광역시 연제구 연산동","588-7","0588","0007","연산역 유성해네스타워","29.9550","202507","02","8,100","17","개인","법인","2016","거제천로230번길 81","-","중개거래","부산 연제구"
"420","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.9300","202507","01","4,000","10","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"421","부산광역시 해운대구 좌동","1340-3","1340","0003","피렌체 오피스텔","60.8800","202507","01","16,500","12","개인","개인","2012","좌동순환로402번길 8","-","중개거래","부산 해운대구"
"422","부산광역시 금정구 서동","207-3","0207","0003","(207-3)","54.8900","202507","01","8,000","2","개인","법인","2017"," ","-","직거래","-"
"423","부산광역시 기장군 정관읍 매학리","718-1","0718","0001","우성스마트시티","27.1612","202507","01","4,050","8","개인","개인","2012","정관6로 3","-","중개거래","부산 기장군"
"424","부산광역시 부산진구 전포동","686-1","0686","0001","더블루2","27.0260","202507","01","8,500","11","법인","개인","2013","서전로38번길 65","-","직거래","-"
"425","부산광역시 수영구 남천동","353-1","0353","0001","봄여름가을겨울 남천역","70.4410","202507","01","35,402","17","개인","법인","2024","수영로 381-5","-","직거래","-"
"426","부산광역시 남구 대연동","1858","1858","0000","대연 힐스테이트푸르지오","29.8200","202507","01","14,000","16","개인","개인","2013","수영로 345","-","중개거래","부산 남구"
"427","부산광역시 부산진구 가야동","82-11","0082","0011","퍼스트클래스","63.1600","202507","01","17,950","7","개인","개인","2017","가야대로587번길 13","-","중개거래","부산 부산진구"
"428","부산광역시 사상구 괘법동","547-4","0547","0004","하이앤드빌딩","28.3600","202507","01","6,900","6","개인","개인","2012","광장로 84","-","중개거래","부산 사상구"
"429","부산광역시 해운대구 반여동","1685","1685","0000","센텀우성스마트시티뷰","69.2814","202507","01","23,900","24","개인","개인","2020","선수촌로 146-4","-","중개거래","부산 해운대구"
"430","부산광역시 부산진구 부전동","394-16","0394","0016","경동파크타워","25.2800","202507","01","7,800","11","개인","개인","2014","새싹로 30","-","중개거래","부산 부산진구"
"431","부산광역시 서구 암남동","255-1","0255","0001","송도탑스빌","128.5800","202506","30","45,000","4","개인","개인","2000","충무대로 56","-","직거래","-"
"432","부산광역시 남구 대연동","55-1","0055","0001","21 센츄리시티 오피스텔","35.5800","202506","30","8,900","10","개인","개인","1993","수영로 312","-","중개거래","부산 남구"
"433","부산광역시 동구 초량동","449-1","0449","0001","네오빌","23.2900","202506","30","3,700","5","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"434","부산광역시 수영구 수영동","446-6","0446","0006","더 그레이스 센텀","26.1700","202506","30","10,700","12","개인","개인","2019","수영로 691-3","-","중개거래","부산 수영구"
"435","부산광역시 동구 초량동","449-1","0449","0001","네오빌","19.6300","202506","30","3,700","7","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"436","부산광역시 동구 초량동","449-1","0449","0001","네오빌","21.3400","202506","30","3,700","7","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"437","부산광역시 동구 초량동","449-1","0449","0001","네오빌","25.4400","202506","30","3,700","6","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"438","부산광역시 동구 초량동","449-1","0449","0001","네오빌","23.4000","202506","30","3,700","6","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"439","부산광역시 중구 중앙동5가","18","0018","0000","경보 이리스오션","29.1675","202506","30","13,500","17","개인","개인","2019","대교로 141","-","직거래","-"
"440","부산광역시 동구 초량동","449-1","0449","0001","네오빌","19.6300","202506","30","3,700","6","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"441","부산광역시 해운대구 우동","1523","1523","0000","WBC the PALACE","213.5500","202506","30","165,000","2","개인","개인","2011","센텀1로 28","-","중개거래","부산 해운대구"
"442","부산광역시 동구 초량동","449-1","0449","0001","네오빌","24.6400","202506","30","3,700","8","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"443","부산광역시 동구 초량동","449-1","0449","0001","네오빌","21.3400","202506","30","3,700","6","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"444","부산광역시 동구 초량동","449-1","0449","0001","네오빌","22.5000","202506","30","3,700","5","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"445","부산광역시 동구 초량동","449-1","0449","0001","네오빌","21.3400","202506","30","3,700","5","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"446","부산광역시 동구 초량동","449-1","0449","0001","네오빌","23.4000","202506","30","3,700","7","개인","개인","2003","중앙대로195번가길 24","-","직거래","-"
"447","부산광역시 해운대구 우동","1520","1520","0000","롯데갤러리움센텀","100.5800","202506","29","59,000","17","개인","개인","2008","센텀1로 9","-","중개거래","부산 해운대구"
"448","부산광역시 해운대구 좌동","1476-1","1476","0001","해운대 베르나움","28.3050","202506","29","7,000","8","개인","개인","2014"," ","-","직거래","-"
"449","부산광역시 부산진구 가야동","82-6","0082","0006","가야센트리움","54.7900","202506","29","13,800","6","개인","개인","2018","가야대로587번길 11-26","-","중개거래","부산 부산진구"
"450","부산광역시 해운대구 우동","777","0777","0000","해운대 한신 휴플러스","29.0225","202506","28","8,300","38","개인","개인","2014","해운대로 550","-","중개거래","부산 해운대구"
"451","부산광역시 부산진구 부전동","454-2","0454","0002","서면 TK 골드뷰","69.4700","202506","28","18,000","2","개인","개인","2017","신천대로 98","-","중개거래","부산 사상구"
"452","부산광역시 해운대구 우동","1410-1","1410","0001","마린시티두산위브포세이돈","130.7700","202506","28","82,000","28","개인","개인","2007","마린시티1로 91","-","중개거래","부산 해운대구"
"453","부산광역시 연제구 연산동","2362","2362","0000","시청역 비스타 동원","40.1712","202506","28","19,000","16","법인","개인","2019"," ","-","중개거래","부산 연제구"
"454","부산광역시 서구 충무동1가","5-6","0005","0006","에코팰리스 충무7차","49.3509","202506","28","19,000","14","개인","개인","2021","구덕로118번길 18","-","중개거래","부산 서구"
"455","부산광역시 서구 암남동","615-2","0615","0002","전원비치오피스텔","39.2000","202506","28","7,400","8","개인","개인","1990","송도해변로 31","-","중개거래","부산 서구"
"456","부산광역시 수영구 광안동","118-2","0118","0002","성우이린타워","40.0800","202506","28","17,000","17","개인","개인","2019","수영로618번길 4","-","중개거래","부산 수영구"
"457","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","13","법인","법인","2016","무민사로 13","-","직거래","-"
"458","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","13","법인","법인","2016","무민사로 13","-","직거래","-"
"459","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","13","법인","법인","2016","무민사로 13","-","직거래","-"
"460","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","13","법인","법인","2016","무민사로 13","-","직거래","-"
"461","부산광역시 동래구 온천동","1411-15","1411","0015","담영예가","59.4800","202506","27","10,500","8","개인","개인","2014","아시아드대로208번가길 5","-","직거래","-"
"462","부산광역시 금정구 장전동","577-2","0577","0002","비케이 오피스텔","30.3600","202506","27","4,200","7","개인","개인","2004","식물원로 59","-","중개거래","부산 금정구"
"463","부산광역시 수영구 남천동","69-6","0069","0006","(69-6)","25.7400","202506","27","5,800","9","법인","개인","1989","수영로 421-1","-","직거래","-"
"464","부산광역시 해운대구 좌동","1433-2","1433","0002","에이스센텀스퀘어","29.9750","202506","27","8,100","9","개인","개인","2017","좌동순환로 243","-","중개거래","부산 해운대구"
"465","부산광역시 해운대구 좌동","1460-2","1460","0002","해운대 쌍용 플래티넘트윈","32.8300","202506","27","7,200","18","개인","개인","2005","양운로 88","-","중개거래","부산 해운대구"
"466","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"467","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","8","법인","법인","2016","무민사로 13","-","직거래","-"
"468","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"469","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"470","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"471","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"472","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"473","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"474","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"475","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"476","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","58.8300","202506","27","7,581","16","법인","법인","2016","무민사로 13","-","직거래","-"
"477","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","58.8300","202506","27","7,487","9","법인","법인","2016","무민사로 13","-","직거래","-"
"478","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","54.9300","202506","27","7,013","9","법인","법인","2016","무민사로 13","-","직거래","-"
"479","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","58.8300","202506","27","7,487","8","법인","법인","2016","무민사로 13","-","직거래","-"
"480","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","54.9300","202506","27","7,013","8","법인","법인","2016","무민사로 13","-","직거래","-"
"481","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","55.2600","202506","27","7,060","7","법인","법인","2016","무민사로 13","-","직거래","-"
"482","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","58.8300","202506","27","7,487","7","법인","법인","2016","무민사로 13","-","직거래","-"
"483","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","55.2600","202506","27","7,060","7","법인","법인","2016","무민사로 13","-","직거래","-"
"484","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","58.8300","202506","27","7,439","4","법인","법인","2016","무민사로 13","-","직거래","-"
"485","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,345","18","법인","법인","2016","무민사로 13","-","직거래","-"
"486","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"487","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"488","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"489","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"490","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,212","5","법인","법인","2016","무민사로 13","-","직거래","-"
"491","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"492","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"493","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"494","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"495","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"496","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"497","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"498","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","6","법인","법인","2016","무민사로 13","-","직거래","-"
"499","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"500","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"501","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"502","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"503","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","7","법인","법인","2016","무민사로 13","-","직거래","-"
"504","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","8","법인","법인","2016","무민사로 13","-","직거래","-"
"505","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","8","법인","법인","2016","무민사로 13","-","직거래","-"
"506","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","8","법인","법인","2016","무민사로 13","-","직거래","-"
"507","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","8","법인","법인","2016","무민사로 13","-","직거래","-"
"508","부산광역시 해운대구 우동","1436-1","1436","0001","더#해운대아델리스","186.9900","202506","27","160,000","15","개인","개인","2006","마린시티3로 51","-","중개거래","부산 해운대구"
"509","부산광역시 해운대구 우동","1398","1398","0000","해운대 엑소디움","142.1000","202506","27","130,000","27","개인","법인","2009","해운대해변로 30","-","중개거래","부산 해운대구"
"510","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"511","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"512","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"513","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"514","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,260","9","법인","법인","2016","무민사로 13","-","직거래","-"
"515","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","10","법인","법인","2016","무민사로 13","-","직거래","-"
"516","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","10","법인","법인","2016","무민사로 13","-","직거래","-"
"517","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","11","법인","법인","2016","무민사로 13","-","직거래","-"
"518","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","11","법인","법인","2016","무민사로 13","-","직거래","-"
"519","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","11","법인","법인","2016","무민사로 13","-","직거래","-"
"520","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","11","법인","법인","2016","무민사로 13","-","직거래","-"
"521","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"522","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"523","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"524","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"525","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"526","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","12","법인","법인","2016","무민사로 13","-","직거래","-"
"527","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202506","27","4,302","13","법인","법인","2016","무민사로 13","-","직거래","-"
"528","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","84.3000","202506","27","10,851","18","법인","법인","2016","무민사로 13","-","직거래","-"
"529","부산광역시 연제구 연산동","588-6","0588","0006","경보이리스힐 오피스텔","26.1000","202506","27","5,000","14","개인","개인","2013","중앙대로1134번길 34","-","중개거래","부산 연제구"
"530","부산광역시 연제구 연산동","1495-19","1495","0019","쉐르텔","15.8400","202506","27","2,200","10","개인","개인","2002","월드컵대로153번길 94","-","중개거래","부산 부산진구, 부산 연제구"
"531","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","84.9600","202506","27","10,946","18","법인","법인","2016","무민사로 13","-","직거래","-"
"532","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","84.2700","202506","27","10,851","18","법인","법인","2016","무민사로 13","-","직거래","-"
"533","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","84.2700","202506","27","10,851","18","법인","법인","2016","무민사로 13","-","직거래","-"
"534","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","54.9300","202506","27","7,155","17","법인","법인","2016","무민사로 13","-","직거래","-"
"535","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","54.9300","202506","27","7,060","16","법인","법인","2016","무민사로 13","-","직거래","-"
"536","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","55.2600","202506","27","7,107","16","법인","법인","2016","무민사로 13","-","직거래","-"
