"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"913","부산광역시 남구 대연동","892-38","0892","0038","대연동금샘하이클래스101동","51.4500","29.4000","202505","14","19,000","3","개인","개인","2018","천제등로 59-26","-","중개거래","부산 남구","25.07.22"
"914","부산광역시 해운대구 반송동","259-85","0259","0085","현대빌라A동B동","69.5300","38.1620","202505","13","11,850","3","개인","개인","1996","반송순환로 188","-","중개거래","부산 해운대구","25.07.15"
"915","부산광역시 해운대구 재송동","1153-16","1153","0016","스카이빌라에이동","66.1800","30.5425","202505","13","8,000","5","개인","개인","2003","재송2로 56","-","중개거래","부산 해운대구","25.06.17"
"916","부산광역시 사하구 하단동","870-81","0870","0081","두꺼비맨션(870-81)","50.5000","30.3000","202505","13","9,000","2","개인","개인","1984","낙동남로1361번길 17","-","중개거래","부산 사하구","25.07.23"
"917","부산광역시 금정구 남산동","958-26","0958","0026","(958-26)","22.4475","21.0143","202505","13","3,000","3","개인","법인","2013","청룡로45번길 32","-","직거래","-","25.05.27"
"918","부산광역시 수영구 민락동","31-26","0031","0026","다정(31-26)","42.9100","35.8750","202505","13","15,000","2","개인","법인","1979","민락본동로31번길 56","-","직거래","-","25.05.23"
"919","부산광역시 수영구 광안동","147-4","0147","0004","초콜릿2","14.5400","10.2540","202505","13","14,500","5","개인","개인","2010","수영로588번길 51","-","중개거래","부산 금정구, 부산 부산진구","-"
"920","부산광역시 연제구 연산동","665-13","0665","0013","햇살사랑채","17.1600","11.3620","202505","13","10,000","5","개인","개인","2013","대리로6번길 71","-","직거래","-","25.05.23"
"921","부산광역시 부산진구 범천동","739-14","0739","0014","부성하이츠빌라","21.6000","12.0400","202505","13","6,500","3","법인","개인","2002","범일로153번길 21","-","중개거래","부산 부산진구","25.05.16"
"922","부산광역시 수영구 광안동","150-5","0150","0005","두성아마데우스","23.4200","14.8190","202505","12","19,000","2","개인","법인","2012","광안로21번가길 10","-","직거래","-","25.05.16"
"923","부산광역시 연제구 연산동","670-3","0670","0003","성진빌라(670-3)","63.7900","26.0280","202505","12","8,200","5","개인","개인","1998","월드컵대로20번길 14","-","직거래","-","25.06.12"
"924","부산광역시 해운대구 중동","1520-25","1520","0025","동백2동","61.1600","56.2000","202505","12","15,000","1","개인","개인","1979","좌동순환로 381-12","20250521","직거래","-","-"
"925","부산광역시 사상구 주례동","172-1","0172","0001","동양캐슬","16.3600","4.5900","202505","12","4,200","11","개인","개인","2012","냉정로 103","-","중개거래","부산 사상구","25.05.13"
"926","부산광역시 북구 만덕동","761-12","0761","0012","강산마을","77.5700","23.4910","202505","12","9,000","5","개인","개인","2000","만덕대로178번길 30","-","중개거래","부산 북구","25.07.10"
"927","부산광역시 동래구 온천동","1219-5","1219","0005","온천맨션","61.2000","38.6200","202505","12","10,000","4","개인","개인","1993","석사북로95번길 60-20","-","중개거래","부산 동래구","-"
"928","부산광역시 동래구 낙민동","20-4","0020","0004","도시","77.7900","90.9200","202505","12","15,000","2","개인","개인","1982","충렬대로322번길 29","-","중개거래","부산 동래구","25.08.13"
"929","부산광역시 사하구 다대동","932-3","0932","0003","다대신우빌리지","48.6300","49.7400","202505","12","12,850","1","개인","개인","1988","다대로530번길 10","-","중개거래","부산 사하구","25.07.02"
"930","부산광역시 수영구 민락동","171-14","0171","0014","이정빌리지","95.0800","53.7900","202505","12","25,000","5","개인","개인","2005","민락로27번길 19","-","중개거래","부산 남구","25.05.21"
"931","부산광역시 부산진구 개금동","409-33","0409","0033","부익모란B","55.6300","48.2600","202505","11","12,000","3","개인","개인","1996","개금본동로66번길 27","20250531","중개거래","부산 부산진구","-"
"932","부산광역시 동래구 명장동","66-2","0066","0002","햇살마루","44.4100","27.1900","202505","11","23,000","3","개인","개인","2022","명안로63번길 57","-","직거래","-","25.05.14"
"933","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,200","5","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"934","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","15.4500","9.4830","202505","10","4,500","5","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"935","부산광역시 강서구 대저1동","1728","1728","0000","우창아르피나","51.4200","32.1400","202505","10","20,000","3","개인","개인","2016","낙동북로187번길 14","20250530","중개거래","부산 강서구","-"
"936","부산광역시 강서구 대저1동","1728","1728","0000","우창아르피나","70.3900","41.0370","202505","10","20,000","4","개인","개인","2016","낙동북로187번길 14","-","중개거래","부산 강서구","25.06.16"
"937","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","2","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"938","부산광역시 해운대구 중동","1481-5","1481","0005","한영빌라3차","114.4400","62.9570","202505","10","27,400","3","개인","개인","2000","달맞이길117번가길 210","-","중개거래","부산 수영구","25.05.22"
"939","부산광역시 남구 문현동","189-46","0189","0046","명진아트빌","59.3600","34.7490","202505","10","21,500","4","개인","개인","2014","고동골로18번길 33","-","중개거래","부산 남구","-"
"940","부산광역시 북구 만덕동","396-13","0396","0013","양지골타운하우스2단지","71.2900","42.1768","202505","10","15,100","2","개인","개인","2013","덕천로 351","-","중개거래","부산 북구","-"
"941","부산광역시 동래구 안락동","599-4","0599","0004","(599-4)","44.4300","42.4500","202505","10","8,400","1","개인","개인","1978","충렬대로446번길 32","-","중개거래","부산 동래구","25.06.13"
"942","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,200","5","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"943","부산광역시 동래구 사직동","139-9","0139","0009","온천주택","73.4700","47.6890","202505","10","14,500","3","개인","개인","1994","여고로91번길 74-5","-","직거래","-","25.05.23"
"944","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.6100","8.9670","202505","10","4,400","2","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"945","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","4","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"946","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","3","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"947","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.6100","8.9670","202505","10","4,400","4","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"948","부산광역시 수영구 광안동","155-4","0155","0004","제이엠글로리아","21.5700","15.8428","202505","10","22,400","2","개인","개인","2017","수영로588번길 69","-","중개거래","부산 부산진구, 부산 수영구","25.05.20"
"949","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.6100","8.9670","202505","10","4,400","3","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"950","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","15.4500","9.4830","202505","10","4,600","2","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"951","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","2","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"952","부산광역시 서구 동대신동3가","13-136","0013","0136","서정트윈스빌A동","28.0000","12.3200","202505","10","4,000","4","개인","개인","2001","대신공원로 14-8","-","중개거래","부산 서구","25.05.23"
"953","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","4","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"954","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","15.4500","9.4830","202505","10","4,600","3","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"955","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","15.4500","9.4830","202505","10","4,600","4","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"956","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.6100","8.9670","202505","10","4,300","5","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"957","부산광역시 동래구 명륜동","526-38","0526","0038","해오름","14.2200","8.7280","202505","10","4,300","3","개인","개인","2011","충렬대로182번길 20","-","중개거래","부산 금정구","25.07.15"
"958","부산광역시 남구 용호동","421-5","0421","0005","성림주택","31.5200","26.3000","202505","09","13,000","3","법인","법인","1983","동명로112번길 20","-","직거래","-","25.05.27"
"959","부산광역시 수영구 광안동","536-130","0536","0130","청명빌라(B)","43.8500","25.3676","202505","09","12,300","1","개인","개인","1998","광일로29번나길 32-1","-","중개거래","부산 수영구","25.06.30"
"960","부산광역시 연제구 연산동","654-24","0654","0024","성원빌라(654-24)","43.4300","43.9666","202505","09","17,500","3","개인","개인","2002","쌍미천로93번길 15-1","-","직거래","-","25.05.15"
"961","부산광역시 동래구 사직동","348-17","0348","0017","신동아맨션1동","58.3100","39.7400","202505","09","32,000","3","개인","개인","1981","아시아드대로184번길 41","-","중개거래","부산 동래구","-"
"962","부산광역시 서구 동대신동2가","257-1","0257","0001","파밀리아","47.5000","20.5100","202505","09","14,600","3","개인","개인","2013","구덕로322번길 62","-","중개거래","부산 서구","25.08.08"
"963","부산광역시 남구 용호동","419-25","0419","0025","한우주택(A동)","33.5300","29.3800","202505","09","11,000","2","법인","법인","1980","동명로100번길 32","-","직거래","-","25.05.14"
"964","부산광역시 수영구 망미동","436-6","0436","0006","보문타운2차","48.6000","30.0200","202505","09","18,000","3","개인","개인","2015","과정로79번길 30","-","직거래","-","25.05.14"
"965","부산광역시 동구 수정동","1165-24","1165","0024","오양주택","44.6300","30.6000","202505","09","4,500","1","개인","개인","1979","수정공원로 26","-","중개거래","부산 해운대구","25.05.28"
"966","부산광역시 동구 수정동","1043-36","1043","0036","(1043-36)","35.3100","16.5000","202505","09","11,000","4","개인","개인","2000","홍곡남로18번길 12","-","직거래","-","25.05.09"
"967","부산광역시 남구 대연동","901-16","0901","0016","삼인유리안","43.6700","27.3410","202505","09","10,000","4","개인","개인","2014","천제등로46번길 5","-","직거래","-","25.05.12"
"968","부산광역시 수영구 남천동","70-16","0070","0016","남천아트빌","65.1400","40.7200","202505","09","17,500","2","개인","법인","2016","남천서로20번길 13","-","직거래","-","25.05.14"
"969","부산광역시 사하구 신평동","94-1","0094","0001","도무스빌","12.9800","10.2100","202505","08","1,600","2","개인","개인","2012","다대로119번길 11-2","-","직거래","-","25.05.27"
"970","부산광역시 수영구 광안동","1063-49","1063","0049","해왕장미빌리지(1063-49)","44.3700","25.4320","202505","08","10,000","3","개인","개인","1994","망미번영로24번길 70","-","직거래","-","25.05.09"
"971","부산광역시 연제구 거제동","739-4","0739","0004","부성베르빌","19.5300","10.8108","202505","08","7,700","3","개인","법인","2002","거제대로118번길 6","-","중개거래","부산 금정구","25.05.28"
"972","부산광역시 남구 대연동","284-5","0284","0005","제이엠스카이","15.4200","10.9320","202505","08","10,500","5","개인","법인","2019","못골번영로46번길 48","-","직거래","-","25.05.12"
"973","부산광역시 수영구 광안동","110-3","0110","0003","양지마을","77.1900","45.5000","202505","08","20,000","3","개인","개인","2003","무학로49번길 25","-","중개거래","부산 수영구","25.06.05"
"974","부산광역시 북구 구포동","423-8","0423","0008","명성빌라가동","45.2100","38.2700","202505","08","9,000","5","개인","법인","2015","낙동대로1766번길 75-4","-","직거래","-","25.05.08"
"975","부산광역시 북구 구포동","423-8","0423","0008","명성빌라가동","29.7200","25.1600","202505","08","7,000","4","개인","법인","2015","낙동대로1766번길 75-4","-","직거래","-","25.05.08"
"976","부산광역시 북구 구포동","423-8","0423","0008","명성빌라가동","39.0400","33.0500","202505","08","8,000","4","개인","법인","2015","낙동대로1766번길 75-4","-","직거래","-","25.05.08"
"977","부산광역시 강서구 명지동","3218-1","3218","0001","동원빌라","64.7500","33.2500","202505","08","12,500","3","개인","개인","1996","명지새동네길8번길 21","-","중개거래","부산 강서구","25.08.04"
"978","부산광역시 부산진구 양정동","197-1","0197","0001","서로빌리지","49.4100","15.9743","202505","08","14,800","7","개인","개인","2017","중앙대로979번길 26-10","-","중개거래","부산 부산진구","25.06.02"
"979","부산광역시 남구 용호동","65-2","0065","0002","해동그린빌라(나)","73.8700","38.3800","202505","08","15,000","2","개인","개인","1997","이기대공원로26번길 13","-","중개거래","부산 남구","-"
"980","부산광역시 북구 만덕동","861-9","0861","0009","일동","59.6100","69.1600","202505","08","7,800","3","개인","개인","1989","은행나무로36번길 104","-","중개거래","부산 북구","25.07.21"
"981","부산광역시 중구 보수동1가","41-384","0041","0384","보혜빌라13차","40.8700","14.5634","202505","08","4,500","4","개인","법인","2001","망양로278번길 9","-","중개거래","부산 중구","25.05.08"
"982","부산광역시 사하구 신평동","94-1","0094","0001","도무스빌","12.1900","9.5800","202505","08","1,600","2","개인","개인","2012","다대로119번길 11-2","-","직거래","-","25.05.27"
"983","부산광역시 수영구 광안동","181-6","0181","0006","지성에이스","16.7700","13.2073","202505","08","16,150","2","개인","개인","2010","남천바다로9번길 42-12","20250526","중개거래","부산 부산진구","-"
"984","부산광역시 영도구 동삼동","940-4","0940","0004","예광골든빌","64.7000","41.9068","202505","08","10,000","2","개인","개인","2015","태종로 791","-","중개거래","부산 영도구","25.07.03"
"985","부산광역시 기장군 기장읍 청강리","64-1","0064","0001","남경","58.5000","53.3813","202505","08","8,000","2","개인","개인","1984","기장대로 499-3","-","중개거래","부산 기장군","25.07.04"
"986","부산광역시 부산진구 범전동","70-23","0070","0023","토월빌라","34.2900","13.0700","202505","07","50,450","3","개인","개인","2004","범양로 49","-","중개거래","부산 연제구","-"
"987","부산광역시 해운대구 반여동","1291-484","1291","0484","화목빌라A","37.5800","13.2500","202505","07","2,000","1","개인","개인","1996","재반로212번길 13-65","20250509","직거래","-","-"
"988","부산광역시 수영구 광안동","155-6","0155","0006","트라움하우스13차","16.5500","12.0300","202505","07","18,000","3","개인","개인","2017","수영로594번길 76","-","중개거래","부산 동래구","25.08.01"
"989","부산광역시 중구 보수동1가","62-30","0062","0030","라온그린힐스3차","13.9700","10.5036","202505","07","3,200","5","개인","법인","2012","법수길 12","-","중개거래","부산 중구","25.05.07"
"990","부산광역시 동구 범일동","1308-38","1308","0038","OK그린빌","41.4100","19.7805","202505","07","11,300","5","개인","개인","2014","범곡북로 20-1","-","중개거래","부산 동구","25.05.27"
"991","부산광역시 수영구 광안동","123-6","0123","0006","드림밸리빌","21.9060","18.1220","202505","07","15,800","5","개인","개인","2018","수영로610번길 81","-","중개거래","부산 부산진구","25.05.23"
"992","부산광역시 동래구 온천동","1210-8","1210","0008","광천원룸","22.0500","11.3000","202505","07","7,500","2","개인","개인","2003","아시아드대로247번길 52-10","-","중개거래","부산 동래구","25.05.20"
"993","부산광역시 수영구 광안동","138-23","0138","0023","명성토마토","16.5300","13.5780","202505","07","15,000","2","개인","개인","2009","수영로600번길 30","-","중개거래","부산 수영구","25.06.27"
"994","부산광역시 연제구 거제동","649-29","0649","0029","동신빌리지","71.4100","36.3500","202505","07","11,800","4","개인","개인","2004","해맞이로89번길 38-1","-","중개거래","부산 연제구","25.06.02"
"995","부산광역시 서구 부민동3가","22-69","0022","0069","(22-69)","67.8800","27.7334","202505","07","7,400","4","개인","개인","1993","해돋이로 312","-","직거래","-","25.05.07"
"996","부산광역시 수영구 망미동","391-7","0391","0007","리안느","18.9700","13.5500","202505","06","15,800","3","개인","법인","2022","망미번영로98번길 32","-","직거래","-","25.05.22"
"997","부산광역시 연제구 연산동","1971-2","1971","0002","우진그린힐하우스","44.8300","27.6158","202505","06","20,000","4","개인","개인","2021","연수로115번길 8","-","직거래","-","25.05.19"
"998","부산광역시 수영구 망미동","391-7","0391","0007","리안느","20.5200","14.6571","202505","06","18,300","5","개인","법인","2022","망미번영로98번길 32","-","직거래","-","25.05.22"
"999","부산광역시 남구 용호동","378-8","0378","0008","심우주택","35.1100","31.3800","202505","06","6,700","1","개인","법인","1980","동명로176번길 13","-","직거래","-","25.05.22"
"1000","부산광역시 남구 대연동","1721-19","1721","0019","청명B동","75.2400","42.7400","202505","05","14,500","2","개인","개인","1995","유엔평화로17번길 99","-","중개거래","부산 남구","25.07.14"
"1001","부산광역시 금정구 부곡동","841-67","0841","0067","대밭빌라","50.7800","27.2200","202505","05","7,500","2","개인","개인","1990","서동로7번길 24","-","중개거래","부산 금정구","25.06.10"
"1002","부산광역시 기장군 기장읍 청강리","285-3","0285","0003","해리빌라","50.0300","22.9400","202505","04","4,700","3","개인","개인","1998","대변로 14","-","중개거래","부산 기장군","25.05.09"
"1003","부산광역시 수영구 광안동","92-3","0092","0003","광안APT","38.0500","26.6400","202505","03","23,000","4","개인","개인","1969","수영로660번길 37","-","중개거래","부산 수영구","25.06.18"
"1004","부산광역시 수영구 광안동","150-22","0150","0022","제이하우스3","65.2300","39.1375","202505","03","42,800","4","개인","법인","2016","광안로21번가길 20","-","중개거래","부산 수영구","-"
"1005","부산광역시 수영구 광안동","147-1","0147","0001","이지빌","21.8400","13.6490","202505","03","17,000","4","개인","개인","2011","광안로35번길 61","-","중개거래","부산 남구","25.07.04"
"1006","부산광역시 금정구 부곡동","316-12","0316","0012","동아빌라","58.7200","30.8440","202505","03","24,300","3","개인","개인","2002","가마실로 53-7","-","중개거래","부산 금정구","25.05.12"
"1007","부산광역시 북구 구포동","1232-28","1232","0028","경원골든빌라(1232-28)","68.1900","40.0600","202505","03","6,600","4","개인","개인","1995","시랑로131번길 19","-","중개거래","부산 북구","25.06.05"
"1008","부산광역시 남구 대연동","1319","1319","0000","동아A동(1319)","49.6800","26.5800","202505","03","12,800","1","개인","개인","1992","수영로220번길 32","-","중개거래","부산 남구","25.06.04"
"1009","부산광역시 사상구 학장동","213-8","0213","0008","행운빌라","66.0000","35.5600","202505","03","6,800","4","개인","개인","1997","학장로236번길 1-9","-","중개거래","부산 사상구","25.05.26"
"1010","부산광역시 수영구 민락동","145-23","0145","0023","삼아원룸빌라","31.9800","17.2100","202505","02","21,000","1","개인","개인","1997","감포로60번길 22","-","중개거래","부산 수영구","25.05.12"
"1011","부산광역시 수영구 수영동","461-4","0461","0004","부영2차","54.6800","33.2750","202505","02","15,000","5","개인","개인","2012","망미번영로60번길 30","-","직거래","-","25.05.12"
"1012","부산광역시 수영구 광안동","1063-5","1063","0005","월드스카이","20.6800","13.8940","202505","02","12,000","4","개인","법인","2017","연수로392번길 43","-","직거래","-","25.05.07"
"1013","부산광역시 해운대구 중동","1477-17","1477","0017","한경하이츠빌","35.8600","14.9940","202505","02","6,400","3","개인","개인","2000","달맞이길117번나길 159","-","중개거래","부산 해운대구","25.05.19"
"1014","부산광역시 사하구 감천동","544-1","0544","0001","흰돌에이스타운","84.3800","28.4372","202505","02","12,500","6","개인","개인","2007","옥천로 28","-","중개거래","부산 사하구","25.05.12"
"1015","부산광역시 사하구 신평동","433-7","0433","0007","유성빌라(433-7)","59.4100","37.3125","202505","02","7,700","2","개인","개인","1995","비봉로 60-1","-","직거래","-","25.05.19"
"1016","부산광역시 금정구 장전동","610-4","0610","0004","초원빌라(610-4)","73.2300","46.6400","202505","02","30,000","3","개인","개인","2001","식물원로 32-8","-","직거래","-","25.05.08"
"1017","부산광역시 금정구 남산동","711-5","0711","0005","신익파크빌B동","68.2800","30.8450","202505","02","14,700","5","개인","개인","2003","금샘로578번길 20-1","-","직거래","-","25.05.22"
"1018","부산광역시 수영구 광안동","147-1","0147","0001","이지빌","15.4200","9.6370","202505","02","13,500","5","개인","개인","2011","광안로35번길 61","-","중개거래","부산 수영구","25.07.17"
"1019","부산광역시 연제구 연산동","313-31","0313","0031","유진A","72.1960","31.6300","202505","02","21,000","6","개인","개인","2014","과정로 333-4","-","직거래","-","25.06.11"
"1020","부산광역시 서구 동대신동2가","72-22","0072","0022","대신(72-22)","76.8600","40.5000","202505","02","13,450","1","개인","개인","1999","대영로111번길 20","-","중개거래","부산 서구","-"
"1021","부산광역시 부산진구 전포동","163-7","0163","0007","선문골든빌라(A,B)","39.6900","20.9850","202505","02","6,500","-1","개인","개인","1995","전포대로298번길 29","-","중개거래","부산 부산진구","25.05.26"
"1022","부산광역시 수영구 광안동","1036-34","1036","0034","골든마린빌","23.8700","17.1470","202505","02","14,500","2","법인","법인","2016","망미번영로24번길 9","-","중개거래","부산 연제구","25.07.28"
"1023","부산광역시 수영구 광안동","118-16","0118","0016","부일메트로스타","14.8800","5.0412","202505","02","10,500","4","개인","개인","2014","수영로606번길 5-4","-","중개거래","부산 수영구","25.05.12"
"1024","부산광역시 해운대구 반송동","744-227","0744","0227","은행맨션","45.1900","39.7000","202505","02","4,000","1","개인","개인","1981","반송로790번길 12-12","-","직거래","-","25.05.12"
"1025","부산광역시 북구 구포동","1219-14","1219","0014","금강빌라(1219-14)","69.8900","34.6100","202505","01","10,800","2","개인","개인","1994","팽나무로8번길 126","-","중개거래","부산 북구","25.06.05"
"1026","부산광역시 해운대구 중동","1486-8","1486","0008","한경리츠빌라","44.7000","27.5000","202505","01","9,000","2","개인","개인","1998","달맞이길117번다길 146","-","중개거래","부산 수영구","25.06.10"
"1027","부산광역시 사하구 괴정동","1130-7","1130","0007","양지코쿤빌","35.3500","14.9500","202505","01","14,000","4","개인","법인","2012","낙동대로327번길 9-1","-","중개거래","부산 사하구","25.05.15"
"1028","부산광역시 사하구 괴정동","1130-7","1130","0007","양지코쿤빌","20.6900","8.7500","202505","01","9,000","4","개인","법인","2012","낙동대로327번길 9-1","-","중개거래","부산 사하구","25.05.15"
"1029","부산광역시 사하구 신평동","99-1","0099","0001","신동화빌리지","73.6000","47.2800","202504","30","9,500","2","개인","개인","1993","다대로 110","-","직거래","-","25.05.08"
"1030","부산광역시 동래구 사직동","414","0414","0000","사직제이파크2차","76.3700","37.7919","202504","30","20,000","5","개인","개인","2016","아시아드대로164번나길 10","-","중개거래","부산 동래구","25.07.21"
"1031","부산광역시 사상구 주례동","84-57","0084","0057","대성빌원룸","13.7600","6.2100","202504","30","5,500","2","개인","법인","2010","진사로36번길 41","-","직거래","-","25.05.02"
"1032","부산광역시 영도구 동삼동","325-205","0325","0205","한나라빌4동5동","73.2300","43.2930","202504","30","13,000","2","개인","개인","2002","와치로 185","-","중개거래","부산 영도구","25.06.16"
"1033","부산광역시 기장군 기장읍 대라리","975-2","0975","0002","서인드림빌9차103동","76.2050","53.8000","202504","30","9,000","1","개인","개인","2002","차성남로 14-9","-","중개거래","부산 기장군","25.05.08"
"1034","부산광역시 해운대구 반여동","1291-1457","1291","1457","한미빌라","59.8200","18.3000","202504","30","5,000","4","개인","개인","1996","해운대로61번길 83-9","-","직거래","-","25.04.30"
"1035","부산광역시 수영구 광안동","176-5","0176","0005","해왕베스트빌라","27.3600","15.8492","202504","30","17,700","2","개인","법인","1998","수영로528번길 30-1","-","직거래","-","25.06.17"
"1036","부산광역시 동래구 안락동","425-95","0425","0095","남광아트","48.1040","16.6460","202504","30","17,350","3","개인","개인","2017","반송로218번길 7-1","-","중개거래","부산 동래구","25.06.05"
"1037","부산광역시 서구 부용동2가","35-11","0035","0011","동양1동","76.4700","42.0338","202504","29","16,900","2","개인","개인","2000","부용로 36","-","중개거래","부산 서구","25.06.10"
"1038","부산광역시 해운대구 재송동","1123-34","1123","0034","대성빌라","58.5900","33.9470","202504","29","4,000","1","개인","개인","1995","재반로84번길 102","-","직거래","-","25.05.02"
"1039","부산광역시 해운대구 중동","1508-9","1508","0009","삼익3동","93.4900","111.3000","202504","29","50,000","1","개인","개인","1980","달맞이길 119","-","직거래","-","25.05.12"
"1040","부산광역시 해운대구 반여동","1602-1","1602","0001","태양둥지맨션","34.3200","24.7800","202504","29","5,400","1","개인","법인","1984","재반로270번길 6","-","중개거래","부산 해운대구","25.05.26"
"1041","부산광역시 동래구 사직동","18-32","0018","0032","(18-32)","54.3100","56.0000","202504","29","13,130","1","개인","개인","1980","석사로33번길 39-4","-","중개거래","부산 동래구","25.05.21"
"1042","부산광역시 중구 보수동1가","59-181","0059","0181","중보빌라7차A동B동","58.4400","20.4625","202504","29","13,500","2","개인","개인","1999","보동길 40","-","직거래","-","25.04.30"
"1043","부산광역시 북구 구포동","1251-12","1251","0012","대윤그린힐빌라(1251-12)","56.6500","26.0500","202504","29","5,000","2","개인","개인","1995","시랑로138번길 28","-","중개거래","부산 북구","25.05.02"
"1044","부산광역시 동구 초량동","969-1","0969","0001","세륭주택","45.5500","29.3000","202504","29","14,500","1","개인","개인","1981","초량상로69번길 6-3","-","중개거래","부산 동구","25.05.20"
"1045","부산광역시 부산진구 초읍동","183-3","0183","0003","대경에코빌","55.4200","33.7657","202504","29","14,700","2","개인","개인","2014","성지로104번길 13","-","중개거래","부산 부산진구","25.05.27"
"1046","부산광역시 사하구 감천동","502-4","0502","0004","신항도","27.6500","28.0000","202504","29","2,300","3","개인","개인","1984","감천로89번길 30","-","직거래","-","25.04.29"
"1047","부산광역시 사하구 감천동","502-4","0502","0004","신항도","45.4200","44.5000","202504","29","2,400","3","개인","개인","1984","감천로89번길 30","-","직거래","-","25.04.29"
"1048","부산광역시 해운대구 중동","987","0987","0000","해운대별장빌라","22.9200","6.4501","202504","29","10,000","4","개인","개인","1998","달맞이길62번길 5-55","-","직거래","-","25.04.30"
"1049","부산광역시 동래구 명륜동","700-168","0700","0168","부성빌","17.8600","11.4338","202504","28","25,000","5","개인","개인","2013","동래로57번길 24-2","-","중개거래","부산 동래구","25.05.09"
"1050","부산광역시 수영구 광안동","147-1","0147","0001","이지빌","17.8850","11.1770","202504","28","15,500","4","개인","개인","2011","광안로35번길 61","-","중개거래","부산 남구","25.07.07"
"1051","부산광역시 금정구 회동동","346-3","0346","0003","정익파크빌라","71.7300","36.7100","202504","28","9,500","1","개인","개인","2000","회천로14번길 1-5","-","중개거래","부산 금정구","25.05.14"
"1052","부산광역시 동래구 수안동","32-43","0032","0043","부원빌라A","63.2700","40.2500","202504","28","35,000","2","개인","개인","1983","온천천로301번길 31","-","직거래","-","25.06.20"
"1053","부산광역시 사하구 괴정동","1056-10","1056","0010","신일주택","60.0800","45.8300","202504","28","7,200","1","개인","개인","1983","승학로229번길 24","-","중개거래","부산 사하구","25.04.30"
"1054","부산광역시 동래구 명장동","140-52","0140","0052","(140-52)","49.8500","44.2500","202504","28","11,000","2","개인","개인","1979","명안로46번가길 12-2","-","중개거래","부산 동래구","25.05.19"
