"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1030","부산광역시 사상구 모라동","4**","8m미만","188.82","월세","202506","27","300","25","1997","백양대로902번길","202506~202706","신규","-","","","단독다가구"
"1031","부산광역시 동래구 사직동","1**","8m미만","183.16","월세","202506","27","2,000","35","1988","여고로75번길","202506~202706","신규","-","","","단독다가구"
"1032","부산광역시 금정구 구서동","7**","12m미만","164.03","월세","202506","27","1,000","30","1989","금강로453번길","202507~202707","신규","-","","","단독다가구"
"1033","부산광역시 중구 보수동1가","5*","8m미만","22.80","전세","202506","27","1,500","0","1985","보동길20번길","202507~202707","신규","-","","","단독다가구"
"1034","부산광역시 부산진구 전포동","3**","25m미만","46.08","월세","202506","27","1,000","50","1989","동성로","202506~202706","신규","-","","","단독다가구"
"1035","부산광역시 동구 좌천동","8**","12m미만","55.47","월세","202506","27","3,250","10","1993","고관로159번길","202506~202706","신규","-","","","단독다가구"
"1036","부산광역시 수영구 망미동","8**","8m미만","78.35","월세","202506","27","1,500","87","1974","망미배산로76번가길","202506~202706","신규","-","","","단독다가구"
"1037","부산광역시 영도구 청학동","3**","8m미만","112.00","월세","202506","27","2,000","180","1978","청학서로18번길","202506~202706","신규","-","","","단독다가구"
"1038","부산광역시 사하구 신평동","5**","8m미만","158.40","월세","202506","27","300","30","2011","하신번영로173번길","202506~202606","신규","-","","","단독다가구"
"1039","부산광역시 영도구 동삼동","2**","8m미만","60.79","전세","202506","27","7,000","0","1988","태종로","202506~202706","신규","-","","","단독다가구"
"1040","부산광역시 부산진구 양정동","1**","12m미만","77.61","월세","202506","27","200","25","2010","연제로9번길","202506~202606","신규","-","","","단독다가구"
"1041","부산광역시 강서구 명지동","3***","25m미만","31.00","월세","202506","27","500","43","2018","명지국제6로232번길","202507~202702","신규","-","","","단독다가구"
"1042","부산광역시 금정구 서동","1**","12m미만","95.82","월세","202506","27","300","25","1977","서곡로","202506~202806","신규","-","","","단독다가구"
"1043","부산광역시 부산진구 전포동","3**","8m미만","46.08","월세","202506","27","1,000","50","2017","동성로39번길","202506~202706","신규","-","","","단독다가구"
"1044","부산광역시 금정구 남산동","3**","12m미만","40.27","월세","202506","27","500","25","1987","금강로693번길","202507~202707","신규","-","","","단독다가구"
"1045","부산광역시 북구 덕천동","3**","25m미만","82.80","전세","202506","27","1,000","0","1990","의성로","202506~202706","신규","-","","","단독다가구"
"1046","부산광역시 사하구 하단동","4**","12m미만","18.00","월세","202506","27","300","28","1990","낙동대로520번길","202506~202612","신규","-","","","단독다가구"
"1047","부산광역시 사하구 신평동","5**","12m미만","25.00","월세","202506","27","200","34","2017","하신번영로177번길","202506~202606","신규","-","","","단독다가구"
"1048","부산광역시 부산진구 당감동","7**","12m미만","164.23","월세","202506","26","500","25","1987","당감서로","202506~202706","신규","-","","","단독다가구"
"1049","부산광역시 동래구 명장동","5**","8m미만","46.20","월세","202506","26","300","20","1992","명서로105번길","202507~202707","신규","-","","","단독다가구"
"1050","부산광역시 중구 보수동2가","9*","12m미만","98.00","월세","202506","26","150","17","1984","보수대로118번길","202506~202706","신규","-","","","단독다가구"
"1051","부산광역시 남구 대연동","1***","8m미만","16.52","월세","202506","26","500","31","2016","못골번영로46번길","202506~202606","신규","-","","","단독다가구"
"1052","부산광역시 북구 구포동","1***","8m미만","68.47","월세","202506","26","2,000","25","1990","모분재로132번길","202506~202706","신규","-","","","단독다가구"
"1053","부산광역시 동래구 명장동","3**","8m미만","64.46","월세","202506","26","9,000","14","1976","시실로215번길","202507~202707","신규","-","","","단독다가구"
"1054","부산광역시 북구 덕천동","3**","8m미만","164.72","월세","202506","26","2,000","30","1983","금곡대로20번길","202507~202707","신규","-","","","단독다가구"
"1055","부산광역시 수영구 광안동","7**","8m미만","98.87","월세","202506","26","5,000","15","1991","호암로29번길","202508~202608","신규","-","","","단독다가구"
"1056","부산광역시 수영구 민락동","7**","8m미만","33.84","월세","202506","26","500","60","2001","광안로61번길","202507~202606","신규","-","","","단독다가구"
"1057","부산광역시 사상구 감전동","1**","8m미만","86.94","전세","202506","26","1,000","0","1978","대동로","202503~202703","신규","-","","","단독다가구"
"1058","부산광역시 해운대구 우동","3**","8m미만","60.00","월세","202506","26","2,000","25","1987","우동1로","202507~202707","신규","-","","","단독다가구"
"1059","부산광역시 부산진구 당감동","6**","8m미만","135.41","월세","202506","26","1,000","30","1984","동평로55번길","202506~202706","신규","-","","","단독다가구"
"1060","부산광역시 사하구 하단동","6**","12m미만","23.00","월세","202506","26","500","35","2010","괴정로","202507~202607","신규","-","","","단독다가구"
"1061","부산광역시 중구 영주동","5**","8m미만","45.00","월세","202506","26","200","22","1992","동영로22번길","202506~202706","신규","-","","","단독다가구"
"1062","부산광역시 사하구 하단동","8**","8m미만","20.00","월세","202506","26","100","45","2017","낙동남로1357번길","202507~202509","신규","-","","","단독다가구"
"1063","부산광역시 동래구 사직동","4**","8m미만","62.48","월세","202506","26","8,000","7","1983","아시아드대로164번나길","202507~202707","신규","-","","","단독다가구"
"1064","부산광역시 북구 덕천동","3**","8m미만","70.68","전세","202506","26","3,000","0","2015","금곡대로26번길","202506~202706","신규","-","","","단독다가구"
"1065","부산광역시 사하구 신평동","6**","8m미만","58.32","월세","202506","26","3,000","20","1989","하신번영로173번길","202408~202608","신규","-","","","단독다가구"
"1066","부산광역시 동래구 명장동","3**","8m미만","64.46","월세","202506","26","9,000","25","1976","시실로215번길","202507~202707","신규","-","","","단독다가구"
"1067","부산광역시 북구 덕천동","4**","8m미만","22.50","월세","202506","26","500","40","2016","만덕대로142번가길","202506~202609","신규","-","","","단독다가구"
"1068","부산광역시 금정구 부곡동","2**","8m미만","61.56","월세","202506","26","2,000","37","1983","동부곡로9번길","202506~202705","신규","-","","","단독다가구"
"1069","부산광역시 사상구 덕포동","2*","8m미만","30.00","월세","202506","26","500","19","1989","덕상로64번길","202507~202907","신규","-","","","단독다가구"
"1070","부산광역시 수영구 수영동","4**","12m미만","40.81","월세","202506","26","500","55","1990","수미로26번길","202506~202606","신규","-","","","단독다가구"
"1071","부산광역시 금정구 선동","5**","8m미만","60.22","전세","202506","26","15,000","0","1980","신천로35번길","202506~202706","신규","-","","","단독다가구"
"1072","부산광역시 연제구 연산동","1***","8m미만","42.00","월세","202506","26","1,500","38","2018","거제천로152번길","202506~202606","신규","-","","","단독다가구"
"1073","부산광역시 연제구 연산동","1***","12m미만","80.45","월세","202506","26","300","31","2010","중앙천로76번길","202506~202606","신규","-","","","단독다가구"
"1074","부산광역시 수영구 수영동","4**","8m미만","119.04","월세","202506","26","300","31","2017","수미로50번가길","202506~202606","신규","-","","","단독다가구"
"1075","부산광역시 동구 초량동","5**","25m미만","22.83","월세","202506","26","300","52","","초량중로","202506~202606","신규","-","","","단독다가구"
"1076","부산광역시 강서구 신호동","2**","25m이상","89.10","월세","202506","26","500","65","2011","신호산단1로","202507~202707","신규","-","","","단독다가구"
"1077","부산광역시 금정구 장전동","3**","12m미만","21.31","월세","202506","26","500","35","2014","부산대학로50번길","202507~202607","신규","-","","","단독다가구"
"1078","부산광역시 부산진구 양정동","3**","8m미만","158.04","월세","202506","26","500","35","1995","중앙대로910번길","202506~202706","신규","-","","","단독다가구"
"1079","부산광역시 강서구 명지동","3***","12m미만","35.67","월세","202506","26","500","46","2021","명지국제6로302번길","202507~202607","신규","-","","","단독다가구"
"1080","부산광역시 사상구 엄궁동","5**","8m미만","64.47","월세","202506","26","2,000","29","1979","낙동대로","202508~202708","신규","-","","","단독다가구"
"1081","부산광역시 기장군 정관읍 달산리","1***","12m미만","35.00","월세","202506","26","500","35","2015","달산4길","202506~202606","신규","-","","","단독다가구"
"1082","부산광역시 기장군 기장읍 대라리","1**","12m미만","115.25","월세","202506","26","100","28","2011","차성로201번길","202506~202606","신규","-","","","단독다가구"
"1083","부산광역시 기장군 기장읍 동부리","1**","12m미만","30.00","월세","202506","26","300","49","2018","차성로326번길","202506~202606","신규","-","","","단독다가구"
"1084","부산광역시 기장군 정관읍 방곡리","3**","12m미만","35.00","월세","202506","25","500","40","","방곡로","202506~202606","신규","-","","","단독다가구"
"1085","부산광역시 사상구 엄궁동","4*","8m미만","10.00","월세","202506","25","1,000","15","1988","엄궁로","202506~202706","신규","-","","","단독다가구"
"1086","부산광역시 기장군 정관읍 매학리","7**","12m미만","28.38","월세","202506","25","1,000","45","2022","달산길","202507~202706","신규","-","","","단독다가구"
"1087","부산광역시 수영구 광안동","3**","8m미만","79.50","월세","202506","25","5,500","30","2017","수영로521번가길","202506~202706","신규","-","","","단독다가구"
"1088","부산광역시 사상구 괘법동","3**","8m미만","40.81","월세","202506","25","300","20","1985","사상로250번길","202506~202706","신규","-","","","단독다가구"
"1089","부산광역시 남구 문현동","2**","8m미만","33.88","월세","202506","25","30","15","","수영로65번길","202506~202706","신규","-","","","단독다가구"
"1090","부산광역시 금정구 부곡동","2**","12m미만","28.37","월세","202506","25","2,000","30","2017","부곡로142번길","202506~202606","신규","-","","","단독다가구"
"1091","부산광역시 남구 문현동","2**","8m미만","117.80","월세","202506","25","400","25","1985","수영로49번가길","202506~202706","신규","-","","","단독다가구"
"1092","부산광역시 사하구 괴정동","1***","25m미만","36.96","전세","202506","25","5,200","0","1981","승학로","202507~202707","신규","-","","","단독다가구"
"1093","부산광역시 사하구 괴정동","1*","8m미만","97.82","월세","202506","25","500","30","1976","까치고개로","202506~202706","신규","-","","","단독다가구"
"1094","부산광역시 동구 좌천동","9**","8m미만","55.38","전세","202506","25","3,500","0","1987","능풍길7번길","202506~202706","신규","-","","","단독다가구"
"1095","부산광역시 동구 좌천동","6**","8m미만","68.06","월세","202506","25","7,000","30","1962","진성로28번가길","202507~202707","신규","-","","","단독다가구"
"1096","부산광역시 동구 수정동","4**","8m미만","50.91","월세","202506","25","400","20","1962","수정공원북로","202506~202706","신규","-","","","단독다가구"
"1097","부산광역시 중구 영주동","2**","8m미만","92.56","월세","202506","25","3,000","10","1978","영주로12번길","202506~202706","신규","-","","","단독다가구"
"1098","부산광역시 사하구 하단동","5**","8m미만","79.01","월세","202506","25","9,000","10","1979","낙동대로474번길","202507~202707","신규","-","","","단독다가구"
"1099","부산광역시 수영구 민락동","1**","8m미만","75.54","전세","202506","25","6,000","0","1979","무학로63번길","202507~202707","신규","-","","","단독다가구"
"1100","부산광역시 영도구 영선동2가","1*","25m미만","99.17","월세","202506","25","100","20","","남항로","202506~202706","신규","-","","","단독다가구"
"1101","부산광역시 부산진구 개금동","5**","8m미만","43.00","월세","202506","25","1,000","25","1990","냉정로","202506~202706","신규","-","","","단독다가구"
"1102","부산광역시 해운대구 좌동","1***","8m미만","194.58","전세","202506","25","11,000","0","","대천로106번길","202507~202707","신규","-","","","단독다가구"
"1103","부산광역시 해운대구 중동","1***","12m미만","148.49","월세","202506","25","12,000","35","","달맞이길117번가길","202507~202707","신규","-","","","단독다가구"
"1104","부산광역시 강서구 명지동","3***","12m미만","30.00","월세","202506","25","1,500","46","2017","명지국제12로11번길","202506~202606","신규","-","","","단독다가구"
"1105","부산광역시 중구 대청동1가","3*","8m미만","84.00","월세","202506","25","1,000","60","1976","복병산길6번길","202507~202707","신규","-","","","단독다가구"
"1106","부산광역시 수영구 수영동","4**","8m미만","75.43","월세","202506","25","3,000","50","1973","연수로379번길","202507~202707","신규","-","","","단독다가구"
"1107","부산광역시 동래구 사직동","3**","8m미만","27.93","전세","202506","25","8,000","0","1974","여고북로60번길","202507~202707","신규","-","","","단독다가구"
"1108","부산광역시 강서구 명지동","3***","25m미만","41.78","월세","202506","25","400","63","2018","명지국제6로232번길","202506~202606","신규","-","","","단독다가구"
"1109","부산광역시 동래구 명장동","3**","8m미만","119.39","월세","202506","25","500","20","1992","시실로205번길","202506~202706","신규","-","","","단독다가구"
"1110","부산광역시 사하구 감천동","5**","8m미만","51.54","월세","202506","25","200","45","1991","감천로105번길","202506~202706","신규","-","","","단독다가구"
"1111","부산광역시 금정구 남산동","1**","12m미만","25.00","월세","202506","25","200","31","2015","중앙대로2035번길","202506~202606","신규","-","","","단독다가구"
"1112","부산광역시 부산진구 초읍동","2**","25m이상","57.90","전세","202506","25","12,000","0","1979","성지로","202508~202708","신규","-","","","단독다가구"
"1113","부산광역시 수영구 광안동","4**","8m미만","17.49","월세","202506","25","300","40","2009","광일로","202506~202606","신규","-","","","단독다가구"
"1114","부산광역시 수영구 광안동","9*","8m미만","16.15","월세","202506","25","300","31","2009","수영로660번길","202506~202606","신규","-","","","단독다가구"
"1115","부산광역시 동래구 온천동","1***","12m미만","50.58","월세","202506","25","1,500","60","1974","아시아드대로195번길","202507~202707","신규","-","","","단독다가구"
"1116","부산광역시 서구 남부민동","1**","8m미만","34.00","월세","202506","25","300","20","","충무대로","202506~202706","신규","-","","","단독다가구"
"1117","부산광역시 연제구 연산동","1***","8m미만","21.00","월세","202506","25","300","34","2010","거제천로104번길","202506~202606","신규","-","","","단독다가구"
"1118","부산광역시 연제구 연산동","3**","12m미만","146.46","월세","202506","25","1,000","30","1989","연동로7번길","202506~202706","신규","-","","","단독다가구"
"1119","부산광역시 연제구 연산동","3**","8m미만","65.95","월세","202506","25","8,000","10","1979","쌍미천로156번길","202507~202707","신규","-","","","단독다가구"
"1120","부산광역시 금정구 장전동","1**","12m미만","15.00","월세","202506","25","500","30","2013","수림로75번길","202506~202512","신규","-","","","단독다가구"
"1121","부산광역시 서구 동대신동2가","2**","25m이상","56.86","월세","202506","25","4,000","40","1973","구덕로322번길","202507~202707","신규","-","","","단독다가구"
"1122","부산광역시 해운대구 반여동","1***","12m미만","38.76","월세","202506","25","500","20","1992","재반로225번길","202506~202706","신규","-","","","단독다가구"
"1123","부산광역시 남구 용호동","4**","12m미만","63.72","전세","202506","24","8,000","0","1984","동명로118번길","202507~202707","신규","-","","","단독다가구"
"1124","부산광역시 영도구 영선동1가","4*","25m이상","20.00","월세","202506","24","500","25","","영선대로","202506~202706","신규","-","","","단독다가구"
"1125","부산광역시 해운대구 반여동","1***","8m미만","10.00","월세","202506","24","100","10","1992","재반로241번길","202506~202706","신규","-","","","단독다가구"
"1126","부산광역시 수영구 수영동","5**","8m미만","32.63","월세","202506","24","1,000","35","1995","수영성로3번길","202506~202706","신규","-","","","단독다가구"
"1127","부산광역시 해운대구 송정동","1**","12m미만","25.00","월세","202506","24","500","44","2015","송정중앙로5번길","202506~202606","신규","-","","","단독다가구"
"1128","부산광역시 남구 용호동","3**","8m미만","26.40","월세","202506","24","1,000","25","1984","동명로164번길","202506~202706","신규","-","","","단독다가구"
"1129","부산광역시 금정구 장전동","2**","12m미만","20.00","월세","202506","24","500","36","2018","금강로321번길","202506~202601","신규","-","","","단독다가구"
"1130","부산광역시 영도구 대교동2가","1**","25m미만","60.70","월세","202506","24","2,500","55","","태종로100번길","202506~202706","신규","-","","","단독다가구"
"1131","부산광역시 동래구 사직동","1**","8m미만","68.43","월세","202506","24","500","20","","여고로63번길","202506~202706","신규","-","","","단독다가구"
"1132","부산광역시 부산진구 개금동","1**","8m미만","18.00","월세","202506","24","1,000","17","2010","복지로13번길","202506~202606","신규","-","","","단독다가구"
"1133","부산광역시 남구 대연동","1***","12m미만","21.00","월세","202506","24","500","48","","유엔평화로17번길","202506~202606","신규","-","","","단독다가구"
"1134","부산광역시 동구 수정동","5**","8m미만","36.00","월세","202506","24","500","20","1970","수정공원로105번길","202506~202706","신규","-","","","단독다가구"
"1135","부산광역시 연제구 연산동","1***","8m미만","46.20","월세","202506","24","300","27","1980","과정로283번나길","202506~202706","신규","-","","","단독다가구"
"1136","부산광역시 금정구 장전동","1**","12m미만","17.00","월세","202506","24","500","30","2011","수림로81번길","202506~202606","신규","-","","","단독다가구"
"1137","부산광역시 북구 덕천동","4**","12m미만","42.90","월세","202506","24","2,000","25","1979","의성로115번길","202507~202706","신규","-","","","단독다가구"
"1138","부산광역시 북구 덕천동","4**","8m미만","53.55","전세","202506","24","7,000","0","1976","의성로115번길","202507~202707","신규","-","","","단독다가구"
"1139","부산광역시 강서구 명지동","3***","25m미만","25.27","월세","202506","24","500","48","2019","명지국제6로220번길","202506~202606","신규","-","","","단독다가구"
"1140","부산광역시 북구 만덕동","8**","8m미만","187.33","월세","202506","24","1,000","35","1992","덕천로312번가길","202506~202706","신규","-","","","단독다가구"
"1141","부산광역시 강서구 신호동","2**","8m미만","27.00","월세","202506","24","200","35","","신호산단4로64번길","202506~202511","신규","-","","","단독다가구"
"1142","부산광역시 강서구 신호동","2**","8m미만","33.00","전세","202506","24","3,500","0","2013","신호산단4로64번길","202506~202606","신규","-","","","단독다가구"
"1143","부산광역시 남구 감만동","*","8m미만","43.20","전세","202506","24","4,000","0","","석포로32번가길","202506~202906","신규","-","","","단독다가구"
"1144","부산광역시 동구 초량동","9**","8m미만","23.80","월세","202506","24","3,000","20","","초량상로75번길","202508~202708","신규","-","","","단독다가구"
"1145","부산광역시 사상구 주례동","9*","8m미만","25.00","월세","202506","24","1,000","50","2020","가야대로330번길","202506~202606","신규","-","","","단독다가구"
"1146","부산광역시 부산진구 부암동","3**","8m미만","71.07","월세","202506","24","500","20","1977","동평로127번가길","202506~203006","신규","-","","","단독다가구"
"1147","부산광역시 해운대구 재송동","1***","8m미만","36.00","월세","202506","24","500","30","1990","재송2로","202506~202706","신규","-","","","단독다가구"
"1148","부산광역시 부산진구 부암동","3**","12m미만","45.00","전세","202506","24","8,000","0","1992","동평로119번길","202506~202706","신규","-","","","단독다가구"
"1149","부산광역시 수영구 광안동","6**","8m미만","35.00","월세","202506","24","6,000","20","2017","광서로11번길","202507~202707","신규","-","","","단독다가구"
"1150","부산광역시 강서구 명지동","3***","12m미만","30.60","월세","202506","24","500","45","","명지국제6로318번길","202506~202606","신규","-","","","단독다가구"
"1151","부산광역시 동래구 사직동","7*","12m미만","72.90","전세","202506","24","3,000","0","1984","사직북로13번길","202507~202707","신규","-","","","단독다가구"
"1152","부산광역시 부산진구 초읍동","2**","8m미만","97.78","월세","202506","24","5,000","50","1973","성지로83번길","202509~202709","신규","-","","","단독다가구"
"1153","부산광역시 동구 범일동","1***","8m미만","89.00","월세","202506","24","2,300","12","","성북로42번길","202506~203006","신규","-","","","단독다가구"
"1154","부산광역시 수영구 광안동","1**","8m미만","16.52","월세","202506","24","300","30","2010","수영로610번길","202506~202606","신규","-","","","단독다가구"
"1155","부산광역시 금정구 남산동","1*","8m미만","78.54","월세","202506","24","6,000","30","1991","금강로","202506~202706","신규","-","","","단독다가구"
"1156","부산광역시 금정구 남산동","1*","8m미만","78.54","월세","202506","24","3,000","45","1991","금강로","202506~202706","신규","-","","","단독다가구"
"1157","부산광역시 수영구 광안동","5**","8m미만","46.30","월세","202506","24","1,000","27","1979","장대골로57번가길","202506~202706","신규","-","","","단독다가구"
"1158","부산광역시 사상구 감전동","1**","12m미만","25.45","월세","202506","24","1,000","23","1983","새벽시장로56번길","202506~202706","신규","-","","","단독다가구"
"1159","부산광역시 연제구 연산동","4**","8m미만","83.35","월세","202506","24","1,000","50","1985","고분로248번길","202506~202706","신규","-","","","단독다가구"
"1160","부산광역시 기장군 정관읍 용수리","1***","12m미만","33.00","월세","202506","24","500","40","2013","가동2길","202506~202606","신규","-","","","단독다가구"
"1161","부산광역시 기장군 정관읍 용수리","1***","12m미만","48.00","월세","202506","24","500","40","2012","가동1길","202506~202606","신규","-","","","단독다가구"
"1162","부산광역시 기장군 정관읍 방곡리","3**","12m미만","50.00","월세","202506","24","1,000","50","2014","방곡로","202507~202706","신규","-","","","단독다가구"
"1163","부산광역시 기장군 정관읍 매학리","7**","12m미만","40.00","월세","202506","24","500","45","2017","구연2로","202506~202606","신규","-","","","단독다가구"
"1164","부산광역시 기장군 기장읍 동부리","3**","12m미만","14.91","월세","202506","23","500","40","2019","차성동로126번길","202507~202607","신규","-","","","단독다가구"
"1165","부산광역시 기장군 장안읍 길천리","1**","8m미만","30.00","월세","202506","23","200","50","2011","길천2길","202506~202606","신규","-","","","단독다가구"
"1166","부산광역시 기장군 정관읍 용수리","1***","12m미만","23.14","월세","202506","23","300","35","2017","가동3로","202506~202606","신규","-","","","단독다가구"
"1167","부산광역시 강서구 명지동","3***","12m미만","33.75","월세","202506","23","500","63","2021","명지국제4로가길","202506~202606","신규","-","","","단독다가구"
"1168","부산광역시 강서구 지사동","1***","12m미만","20.00","월세","202506","23","0","45","2013","과학산단로334번나길","202507~202601","신규","-","","","단독다가구"
"1169","부산광역시 동구 초량동","9**","8m미만","22.50","전세","202506","23","4,000","0","","초량상로69번길","202506~202706","신규","-","","","단독다가구"
"1170","부산광역시 강서구 지사동","1***","12m미만","20.00","월세","202506","23","0","45","2013","과학산단로334번나길","202507~202601","신규","-","","","단독다가구"
"1171","부산광역시 사하구 괴정동","8**","12m미만","26.77","월세","202506","23","2,000","20","2010","회화나무길","202506~202606","신규","-","","","단독다가구"
"1172","부산광역시 동래구 안락동","7**","25m이상","61.40","월세","202506","23","300","29","1993","충렬대로","202506~202706","신규","-","","","단독다가구"
"1173","부산광역시 영도구 동삼동","9**","12m미만","30.00","월세","202506","23","300","30","2009","태종로802번길","202506~202512","신규","-","","","단독다가구"
"1174","부산광역시 영도구 동삼동","9**","12m미만","30.00","월세","202506","23","300","30","2009","태종로802번길","202506~202512","신규","-","","","단독다가구"
"1175","부산광역시 부산진구 당감동","9*","12m미만","28.28","월세","202506","23","300","43","2022","가야대로703번라길","202506~202606","신규","-","","","단독다가구"
"1176","부산광역시 북구 구포동","1***","8m미만","35.88","월세","202506","23","1,200","12","1991","시랑로163번길","202506~202806","신규","-","","","단독다가구"
"1177","부산광역시 수영구 수영동","5**","8m미만","122.18","전세","202506","23","2,500","0","1988","구락로10번길","202506~202706","신규","-","","","단독다가구"
"1178","부산광역시 수영구 수영동","4**","8m미만","62.65","전세","202506","23","9,000","0","1993","수미로58번길","202506~202706","신규","-","","","단독다가구"
"1179","부산광역시 강서구 명지동","3***","25m미만","28.93","월세","202506","23","500","45","2017","명지국제6로302번길","202506~202606","신규","-","","","단독다가구"
"1180","부산광역시 연제구 연산동","2***","12m미만","116.88","월세","202506","23","3,000","35","1983","배산로","202506~202706","신규","-","","","단독다가구"
"1181","부산광역시 동구 좌천동","9**","8m미만","50.50","월세","202506","23","1,500","25","1996","진성로68번가길","202506~202706","신규","-","","","단독다가구"
"1182","부산광역시 부산진구 전포동","3**","8m미만","34.67","월세","202506","23","500","60","2018","동성로39번길","202507~202607","신규","-","","","단독다가구"
"1183","부산광역시 부산진구 전포동","3**","8m미만","20.00","월세","202506","23","300","30","2011","동성로39번길","202506~202606","신규","-","","","단독다가구"
"1184","부산광역시 동구 수정동","3**","8m미만","19.84","월세","202506","23","100","34","2010","초량상로157번길","202506~202606","신규","-","","","단독다가구"
"1185","부산광역시 해운대구 반송동","6*","8m미만","49.50","월세","202506","23","600","14","","윗반송로51번길","202506~202706","신규","-","","","단독다가구"
"1186","부산광역시 해운대구 반송동","4*","12m미만","20.00","월세","202506","23","10","5","1987","반송로924번길","202506~202706","신규","-","","","단독다가구"
"1187","부산광역시 남구 대연동","1***","8m미만","22.04","월세","202506","23","200","32","2008","못골번영로40번길","202506~202606","신규","-","","","단독다가구"
"1188","부산광역시 부산진구 양정동","3**","12m미만","155.91","월세","202506","23","700","30","1982","거제대로60번길","202506~203006","신규","-","","","단독다가구"
"1189","부산광역시 부산진구 범천동","8**","8m미만","50.88","월세","202506","23","1,000","20","1954","범일로142번가길","202506~202706","신규","-","","","단독다가구"
"1190","부산광역시 사상구 감전동","1**","8m미만","114.05","월세","202506","23","150","18","1978","대동로","202506~202706","신규","-","","","단독다가구"
"1191","부산광역시 사상구 감전동","1**","8m미만","114.05","월세","202506","23","300","35","1978","대동로","202506~202706","신규","-","","","단독다가구"
"1192","부산광역시 남구 용호동","3**","25m미만","92.56","월세","202506","23","1,000","55","1992","동명로","202507~202607","신규","-","","","단독다가구"
"1193","부산광역시 남구 용호동","1**","25m이상","103.53","월세","202506","23","5,000","130","","분포로","202509~202709","신규","-","","","단독다가구"
"1194","부산광역시 부산진구 초읍동","2**","12m미만","27.00","월세","202506","23","500","40","2014","성지로153번길","202506~202606","신규","-","","","단독다가구"
"1195","부산광역시 영도구 남항동1가","1**","8m미만","45.00","월세","202506","23","0","40","","절영로49번길","202506~202706","신규","-","","","단독다가구"
"1196","부산광역시 강서구 신호동","2**","12m미만","85.46","전세","202506","23","8,000","0","2015","신호산단2로49번길","202507~202707","신규","-","","","단독다가구"
"1197","부산광역시 사하구 다대동","9**","8m미만","215.36","월세","202506","23","1,000","13","1988","윤공단로62번길","202507~202601","신규","-","","","단독다가구"
"1198","부산광역시 사하구 장림동","3**","8m미만","200.00","월세","202506","23","500","40","1991","장림번영로37번길","202506~202706","신규","-","","","단독다가구"
"1199","부산광역시 금정구 장전동","1**","8m미만","20.00","월세","202506","23","500","40","2016","수림로81번길","202506~202606","신규","-","","","단독다가구"
"1200","부산광역시 강서구 범방동","1***","25m미만","25.00","월세","202506","23","200","30","2018","범방3로59번길","202506~202606","신규","-","","","단독다가구"
"1201","부산광역시 금정구 서동","1**","12m미만","141.99","월세","202506","23","300","25","1983","서곡로20번길","202506~202706","신규","-","","","단독다가구"
"1202","부산광역시 해운대구 반여동","1***","8m미만","64.64","전세","202506","23","2,500","0","1992","재반로196번길","202507~202707","신규","-","","","단독다가구"
"1203","부산광역시 금정구 장전동","5*","12m미만","20.00","월세","202506","23","300","38","1995","금강로321번길","202508~202607","신규","-","","","단독다가구"
"1204","부산광역시 해운대구 반여동","1***","8m미만","143.26","전세","202506","23","2,500","0","1992","재반로196번길","202508~202708","신규","-","","","단독다가구"
"1205","부산광역시 해운대구 반여동","1***","8m미만","143.26","전세","202506","23","2,500","0","1992","재반로196번길","202508~202708","신규","-","","","단독다가구"
"1206","부산광역시 금정구 장전동","1**","8m미만","20.00","월세","202506","22","300","29","2011","수림로75번길","202506~202606","신규","-","","","단독다가구"
"1207","부산광역시 중구 영주동","5**","8m미만","23.14","월세","202506","22","2,000","30","","대영로226번길","202507~202607","신규","-","","","단독다가구"
"1208","부산광역시 해운대구 반송동","2**","8m미만","20.00","월세","202506","22","500","32","1993","아랫반송로21번길","202507~202707","신규","-","","","단독다가구"
"1209","부산광역시 금정구 남산동","1**","12m미만","22.03","월세","202506","22","1,000","50","2022","중앙대로2035번길","202506~202606","신규","-","","","단독다가구"
"1210","부산광역시 강서구 대저1동","2***","8m미만","49.50","월세","202506","22","1,500","25","1994","공항로1181번길","202507~202707","신규","-","","","단독다가구"
"1211","부산광역시 동구 수정동","9**","8m미만","185.31","월세","202506","22","1,500","20","1999","수정외솔로13번길","202506~202706","신규","-","","","단독다가구"
